Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,6(11),LSG,T20,Lucknow,26 Apr 26,54.5,0,0
INDIAN PREMIER LEAGUE 2026,10(13),RR,T20,Kolkata,19 Apr 26,76.9,1,0
INDIAN PREMIER LEAGUE 2026,17(8),GT,T20,Ahmedabad,17 Apr 26,212.5,2,1
INDIAN PREMIER LEAGUE 2026,35(23),CSK,T20,Chennai,14 Apr 26,152.1,4,1
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Kolkata,09 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Kolkata,06 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,10(9),SRH,T20,Kolkata,02 Apr 26,111.1,1,0
INDIAN PREMIER LEAGUE 2026,4*(4),MI,T20,Mumbai,29 Mar 26,100,0,0
INDIAN PREMIER LEAGUE 2025,13(5),SRH,T20,Delhi,25 May 25,260,0,2
INDIAN PREMIER LEAGUE 2025,4*(4),CSK,T20,Kolkata,07 May 25,100,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Kolkata,04 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1(2),GT,T20,Kolkata,21 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,0(1),PBKS,T20,New Chandigarh,15 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,11 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1(2),LSG,T20,Kolkata,08 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Kolkata,03 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,22(12),MI,T20,Mumbai,31 Mar 25,183.3,1,2
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Guwahati,26 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,6*(9),RCB,T20,Kolkata,22 Mar 25,66.6,0,0
"INDIA TOUR OF SOUTH AFRICA, 2024",DNB,RSA,T20I,Johannesburg,15 Nov 24,DNB,DNB,DNB
"INDIA TOUR OF SOUTH AFRICA, 2024",15(6),RSA,T20I,Centurion,13 Nov 24,250,1,1
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Chennai,26 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,SRH,T20,Ahmedabad,21 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,17*(8),MI,T20,Kolkata,11 May 24,212.5,1,1
INDIAN PREMIER LEAGUE 2024,25*(6),LSG,T20,Lucknow,05 May 24,416.6,1,3
INDIAN PREMIER LEAGUE 2024,2(4),MI,T20,Mumbai,03 May 24,50,0,0
INDIAN PREMIER LEAGUE 2024,DNB,DC,T20,Kolkata,29 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,6*(3),PBKS,T20,Kolkata,26 Apr 24,200,0,1
INDIAN PREMIER LEAGUE 2024,24*(9),RCB,T20,Kolkata,21 Apr 24,266.6,2,2
INDIAN PREMIER LEAGUE 2024,1*(1),RR,T20,Kolkata,16 Apr 24,100,0,0
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Kolkata,14 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,13(12),CSK,T20,Chennai,08 Apr 24,108.3,0,1
INDIAN PREMIER LEAGUE 2024,2(2),DC,T20,Visakhapatnam,03 Apr 24,100,0,0
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Bengaluru,29 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,35(17),SRH,T20,Kolkata,23 Mar 24,205.8,1,4
INDIAN PREMIER LEAGUE 2022,13*(6),DC,T20,Mumbai,21 May 22,216.6,2,0
INDIAN PREMIER LEAGUE 2022,14*(6),SRH,T20,Mumbai,17 May 22,233.3,1,1
INDIAN PREMIER LEAGUE 2022,DNB,CSK,T20,Mumbai,12 May 22,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2022,12(16),KKR,T20,Navi Mumbai,09 May 22,75,0,0
INDIAN PREMIER LEAGUE 2022,6(12),RCB,T20,Pune,09 Apr 22,50,0,0
