Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Jaipur,01 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,22 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(2),KKR,T20,Kolkata,19 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,0(1),SRH,T20,Hyderabad,13 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,RCB,T20,Guwahati,10 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Ahmedabad,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Guwahati,30 Mar 26,DNB,DNB,DNB
"NEW ZEALAND TOUR OF INDIA, 2026",10*(10),NZ,T20I,Visakhapatnam,28 Jan 26,100,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",DNB,NZ,T20I,Guwahati,25 Jan 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Lucknow,19 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,13(14),MI,T20,Mumbai,27 Apr 25,92.8,0,2
INDIAN PREMIER LEAGUE 2025,DNB,DC,T20,Lucknow,22 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Jaipur,19 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Lucknow,14 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Lucknow,12 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,KKR,T20,Kolkata,08 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Lucknow,04 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Lucknow,01 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Hyderabad,27 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,0(2),DC,T20,Visakhapatnam,24 Mar 25,0,0,0
"ENGLAND TOUR OF INDIA, 2025",0(1),ENG,T20I,Mumbai,02 Feb 25,0,0,0
"ENGLAND TOUR OF INDIA, 2025",DNB,ENG,T20I,Pune,31 Jan 25,DNB,DNB,DNB
"ENGLAND TOUR OF INDIA, 2025",4*(3),ENG,T20I,Rajkot,28 Jan 25,133.3,1,0
"ENGLAND TOUR OF INDIA, 2025",9*(5),ENG,T20I,Chennai,25 Jan 25,180,2,0
