Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-28,DC,T20,Jaipur,01 May 26,14,2,0
INDIAN PREMIER LEAGUE 2026,0-16,SRH,T20,Jaipur,25 Apr 26,16,1,0
INDIAN PREMIER LEAGUE 2026,1-23,LSG,T20,Lucknow,22 Apr 26,7.6,3,0
INDIAN PREMIER LEAGUE 2026,1-41,KKR,T20,Kolkata,19 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,0-35,SRH,T20,Hyderabad,13 Apr 26,11.6,3,0
INDIAN PREMIER LEAGUE 2026,2-32,RCB,T20,Guwahati,10 Apr 26,8,4,0
INDIAN PREMIER LEAGUE 2026,2-25,MI,T20,Guwahati,07 Apr 26,12.5,2,0
INDIAN PREMIER LEAGUE 2026,4-41,GT,T20,Ahmedabad,04 Apr 26,10.2,4,0
INDIAN PREMIER LEAGUE 2026,1-16,CSK,T20,Guwahati,30 Mar 26,5.3,3,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-49,NZ,T20I,Visakhapatnam,28 Jan 26,12.2,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-18,NZ,T20I,Guwahati,25 Jan 26,4.5,4,0
INDIAN PREMIER LEAGUE 2025,0-26,SRH,T20,Lucknow,19 May 25,26,1,0
INDIAN PREMIER LEAGUE 2025,1-41,MI,T20,Mumbai,27 Apr 25,10.2,4,0
INDIAN PREMIER LEAGUE 2025,0-36,DC,T20,Lucknow,22 Apr 25,12,3,0
INDIAN PREMIER LEAGUE 2025,0-19,RR,T20,Jaipur,19 Apr 25,6.3,3,0
INDIAN PREMIER LEAGUE 2025,2-18,CSK,T20,Lucknow,14 Apr 25,6,3,0
INDIAN PREMIER LEAGUE 2025,2-36,GT,T20,Lucknow,12 Apr 25,9,4,0
INDIAN PREMIER LEAGUE 2025,1-47,KKR,T20,Kolkata,08 Apr 25,11.7,4,0
INDIAN PREMIER LEAGUE 2025,0-40,MI,T20,Lucknow,04 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-43,PBKS,T20,Lucknow,01 Apr 25,14.3,3,0
INDIAN PREMIER LEAGUE 2025,1-42,SRH,T20,Hyderabad,27 Mar 25,10.5,4,0
INDIAN PREMIER LEAGUE 2025,2-53,DC,T20,Visakhapatnam,24 Mar 25,13.2,4,0
"ENGLAND TOUR OF INDIA, 2025",1-9,ENG,T20I,Mumbai,02 Feb 25,9,1,0
"ENGLAND TOUR OF INDIA, 2025",3-28,ENG,T20I,Pune,31 Jan 25,7,4,0
"ENGLAND TOUR OF INDIA, 2025",1-46,ENG,T20I,Rajkot,28 Jan 25,11.5,4,0
"ENGLAND TOUR OF INDIA, 2025",0-27,ENG,T20I,Chennai,25 Jan 25,6.7,4,0
"ENGLAND TOUR OF INDIA, 2025",0-22,ENG,T20I,Kolkata,22 Jan 25,5.5,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",1-28,RSA,T20I,Johannesburg,15 Nov 24,9.3,3,0
"INDIA TOUR OF SOUTH AFRICA, 2024",0-33,RSA,T20I,Centurion,13 Nov 24,8.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",1-21,RSA,T20I,Gqeberha,10 Nov 24,5.2,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",3-28,RSA,T20I,Durban,08 Nov 24,7,4,0
"BANGLADESH TOUR OF INDIA, 2024",3-30,BAN,T20I,Hyderabad,12 Oct 24,7.5,4,1
