Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-33,DC,T20,Jaipur,01 May 26,11,3,0
INDIAN PREMIER LEAGUE 2026,0-32,PBKS,T20,New Chandigarh,28 Apr 26,8,4,0
INDIAN PREMIER LEAGUE 2026,0-11,SRH,T20,Jaipur,25 Apr 26,11,1,0
INDIAN PREMIER LEAGUE 2026,1-29,LSG,T20,Lucknow,22 Apr 26,7.2,4,0
INDIAN PREMIER LEAGUE 2026,2-8,KKR,T20,Kolkata,19 Apr 26,2.6,3,0
INDIAN PREMIER LEAGUE 2026,1-14,RCB,T20,Guwahati,10 Apr 26,7,2,0
INDIAN PREMIER LEAGUE 2026,0-25,GT,T20,Ahmedabad,04 Apr 26,12.5,2,0
INDIAN PREMIER LEAGUE 2026,2-18,CSK,T20,Guwahati,30 Mar 26,6,3,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-41,NZ,ODI,Indore,18 Jan 26,6.8,6,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-44,NZ,ODI,Rajkot,14 Jan 26,5.5,8,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-56,NZ,ODI,Vadodara,11 Jan 26,6.2,9,0
"SOUTH AFRICA TOUR OF INDIA, 2025",1-50,RSA,ODI,Visakhapatnam,06 Dec 25,5.5,9,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-41,RSA,ODI,Raipur,03 Dec 25,5.8,7,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-66,RSA,ODI,Ranchi,30 Nov 25,7.3,9,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-94 & 4-62,RSA,Test,Guwahati,22 Nov 25,3.3 & 2.1,28 & 28.3,2 & 3
"SOUTH AFRICA TOUR OF INDIA, 2025",0-13 & 4-50,RSA,Test,Kolkata,14 Nov 25,1.6 & 2.5,8 & 20,2 & 3
"WEST INDIES TOUR OF INDIA, 2025",3-46 & 1-102,WI,Test,Delhi,10 Oct 25,2.4 & 3,19 & 33,5 & 10
"WEST INDIES TOUR OF INDIA, 2025",0-15 & 4-54,WI,Test,Ahmedabad,02 Oct 25,5 & 4.1,3 & 13,0 & 3
"INDIA TOUR OF ENGLAND, 2025",0-11 & 0-22,ENG,Test,London,31 Jul 25,5.5 & 5.5,2 & 4,0 & 0
"INDIA TOUR OF ENGLAND, 2025",4-143 & DNB,ENG,Test,Manchester,23 Jul 25,3.8 & DNB,37.1 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2025",1-29 & 0-20,ENG,Test,London,10 Jul 25,2.4 & 2.5,12 & 8,1 & 1
"INDIA TOUR OF ENGLAND, 2025",0-70 & 1-40,ENG,Test,Birmingham,02 Jul 25,4.1 & 2.6,17 & 15,2 & 4
"INDIA TOUR OF ENGLAND, 2025",0-68 & 1-104,ENG,Test,Leeds,20 Jun 25,2.9 & 4.3,23 & 24,4 & 1
INDIAN PREMIER LEAGUE 2025,2-17,GT,T20,Ahmedabad,25 May 25,5.6,3,0
INDIAN PREMIER LEAGUE 2025,0-27,RR,T20,Delhi,20 May 25,13.5,2,0
INDIAN PREMIER LEAGUE 2025,1-34,KKR,T20,Kolkata,07 May 25,8.5,4,0
INDIAN PREMIER LEAGUE 2025,0-26,RCB,T20,Bengaluru,03 May 25,8.6,3,0
INDIAN PREMIER LEAGUE 2025,1-32,PBKS,T20,Chennai,30 Apr 25,10.6,3,0
INDIAN PREMIER LEAGUE 2025,1-22,SRH,T20,Chennai,25 Apr 25,6.4,3.4,0
INDIAN PREMIER LEAGUE 2025,1-28,MI,T20,Mumbai,20 Apr 25,9.3,3,0
INDIAN PREMIER LEAGUE 2025,2-24,LSG,T20,Lucknow,14 Apr 25,8,3,0
INDIAN PREMIER LEAGUE 2025,0-9,KKR,T20,Chennai,11 Apr 25,90,0.1,0
