Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,90(50),DC,T20,Jaipur,01 May 26,180,8,5
INDIAN PREMIER LEAGUE 2026,29(16),PBKS,T20,New Chandigarh,28 Apr 26,181.2,2,2
INDIAN PREMIER LEAGUE 2026,7(9),SRH,T20,Jaipur,25 Apr 26,77.7,0,0
INDIAN PREMIER LEAGUE 2026,20(19),LSG,T20,Lucknow,22 Apr 26,105.2,2,1
INDIAN PREMIER LEAGUE 2026,12(14),KKR,T20,Kolkata,19 Apr 26,85.7,1,0
INDIAN PREMIER LEAGUE 2026,4(6),SRH,T20,Hyderabad,13 Apr 26,66.6,1,0
INDIAN PREMIER LEAGUE 2026,3(5),RCB,T20,Guwahati,10 Apr 26,60,0,0
INDIAN PREMIER LEAGUE 2026,20(10),MI,T20,Guwahati,07 Apr 26,200,1,2
INDIAN PREMIER LEAGUE 2026,8(4),GT,T20,Ahmedabad,04 Apr 26,200,0,1
INDIAN PREMIER LEAGUE 2026,14*(11),CSK,T20,Guwahati,30 Mar 26,127.2,1,1
INDIAN PREMIER LEAGUE 2025,3(4),CSK,T20,Delhi,20 May 25,75,0,0
INDIAN PREMIER LEAGUE 2025,13(11),PBKS,T20,Jaipur,18 May 25,118.1,0,1
INDIAN PREMIER LEAGUE 2025,95(45),KKR,T20,Kolkata,04 May 25,211.1,6,8
INDIAN PREMIER LEAGUE 2025,16(8),MI,T20,Jaipur,01 May 25,200,3,0
INDIAN PREMIER LEAGUE 2025,32*(15),GT,T20,Jaipur,28 Apr 25,213.3,2,2
INDIAN PREMIER LEAGUE 2025,22(10),RCB,T20,Bengaluru,24 Apr 25,220,2,2
INDIAN PREMIER LEAGUE 2025,39(26),LSG,T20,Jaipur,19 Apr 25,150,3,2
INDIAN PREMIER LEAGUE 2025,8(11),DC,T20,Delhi,16 Apr 25,72.7,1,0
INDIAN PREMIER LEAGUE 2025,30(22),RCB,T20,Jaipur,13 Apr 25,136.3,3,1
INDIAN PREMIER LEAGUE 2025,26(14),GT,T20,Ahmedabad,09 Apr 25,185.7,1,3
