Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-12,SRH,T20,Jaipur,25 Apr 26,12,1,0
INDIAN PREMIER LEAGUE 2026,0-10,KKR,T20,Kolkata,19 Apr 26,10,1,0
INDIAN PREMIER LEAGUE 2026,1-5,SRH,T20,Hyderabad,13 Apr 26,5,1,0
INDIAN PREMIER LEAGUE 2026,1-11,GT,T20,Ahmedabad,04 Apr 26,11,1,0
INDIAN PREMIER LEAGUE 2025,0-26,CSK,T20,Delhi,20 May 25,13,2,0
INDIAN PREMIER LEAGUE 2025,1-26,PBKS,T20,Jaipur,18 May 25,8.6,3,0
INDIAN PREMIER LEAGUE 2025,1-21,KKR,T20,Kolkata,04 May 25,7,3,0
INDIAN PREMIER LEAGUE 2025,1-12,MI,T20,Jaipur,01 May 25,6,2,0
INDIAN PREMIER LEAGUE 2025,0-14,GT,T20,Jaipur,28 Apr 25,14,1,0
INDIAN PREMIER LEAGUE 2025,0-30,RCB,T20,Bengaluru,24 Apr 25,10,3,0
INDIAN PREMIER LEAGUE 2025,0-6,DC,T20,Delhi,16 Apr 25,6,1,0
INDIAN PREMIER LEAGUE 2025,0-10,RCB,T20,Jaipur,13 Apr 25,10,1,0
INDIAN PREMIER LEAGUE 2025,0-25,KKR,T20,Guwahati,26 Mar 25,6.2,4,0
"BANGLADESH TOUR OF INDIA, 2024",1-16,BAN,T20I,Delhi,09 Oct 24,8,2,0
"INDIA TOUR OF SRI LANKA, 2024",3-54,SL,ODI,Colombo,07 Aug 24,6,9,0
"INDIA TOUR OF SRI LANKA, 2024",0-27,SL,T20I,Pallekele,30 Jul 24,6.7,4,0
"INDIA TOUR OF SRI LANKA, 2024",0-30,SL,T20I,Pallekele,28 Jul 24,7.5,4,0
"INDIA TOUR OF SRI LANKA, 2024",3-5,SL,T20I,Pallekele,27 Jul 24,4.1,1.2,0
"INDIA TOUR OF ZIMBABWE, 2024",0-5,ZIM,T20I,Harare,07 Jul 24,5,1,0
INDIAN PREMIER LEAGUE 2024,0-17,DC,T20,Delhi,07 May 24,8.5,2,0
INDIAN PREMIER LEAGUE 2024,0-10,RCB,T20,Jaipur,06 Apr 24,10,1,0
INDIAN PREMIER LEAGUE 2022,0-22,DC,T20,Mumbai,22 Apr 22,22,1,0
INDIAN PREMIER LEAGUE 2022,1-12,GT,T20,Navi Mumbai,14 Apr 22,12,1,0
INDIAN PREMIER LEAGUE 2022,0-11,MI,T20,Navi Mumbai,02 Apr 22,11,1,0
INDIAN PREMIER LEAGUE 2022,0-14,SRH,T20,Pune,29 Mar 22,14,1,0
INDIAN PREMIER LEAGUE 2021,0-4,RCB,T20,Dubai,29 Sep 21,40,0.1,0
INDIAN PREMIER LEAGUE 2021,0-16,PBKS,T20,Dubai,21 Sep 21,16,1,0
INDIAN PREMIER LEAGUE 2021,0-14,RCB,T20,Mumbai,22 Apr 21,14,1,0
INDIAN PREMIER LEAGUE 2021,0-16,CSK,T20,Mumbai,19 Apr 21,16,1,0
INDIAN PREMIER LEAGUE 2021,0-16,DC,T20,Mumbai,15 Apr 21,8,2,0
INDIAN PREMIER LEAGUE 2021,1-7,PBKS,T20,Mumbai,12 Apr 21,7,1,0
INDIAN PREMIER LEAGUE 2020,0-13,RCB,T20,Abu Dhabi,03 Oct 20,13,1,0
INDIAN PREMIER LEAGUE 2020,0-14,KKR,T20,Dubai,30 Sep 20,14,1,0
INDIAN PREMIER LEAGUE 2019,0-14,DC,T20,Delhi,04 May 19,14,1,0
INDIAN PREMIER LEAGUE 2019,1-10,RCB,T20,Bengaluru,30 Apr 19,10,1,0
INDIAN PREMIER LEAGUE 2019,0-24,SRH,T20,Jaipur,27 Apr 19,8,3,0
INDIAN PREMIER LEAGUE 2019,0-7,KKR,T20,Kolkata,25 Apr 19,7,1,0
INDIAN PREMIER LEAGUE 2019,1-25,DC,T20,Jaipur,22 Apr 19,8.3,3,0
INDIAN PREMIER LEAGUE 2019,0-17,MI,T20,Jaipur,20 Apr 19,8.5,2,0
INDIAN PREMIER LEAGUE 2019,0-24,CSK,T20,Jaipur,11 Apr 19,8,3,0
