Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,84(44),LSG,T20,Mumbai,04 May 26,190.9,6,7
INDIAN PREMIER LEAGUE 2026,19(13),RCB,T20,Mumbai,12 Apr 26,146.1,2,1
INDIAN PREMIER LEAGUE 2026,5(6),RR,T20,Guwahati,07 Apr 26,83.3,0,0
INDIAN PREMIER LEAGUE 2026,35(26),DC,T20,Delhi,04 Apr 26,134.6,5,1
INDIAN PREMIER LEAGUE 2026,78(38),KKR,T20,Mumbai,29 Mar 26,205.2,6,6
"NEW ZEALAND TOUR OF INDIA, 2026",11(13),NZ,ODI,Indore,18 Jan 26,84.6,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",24(38),NZ,ODI,Rajkot,14 Jan 26,63.1,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",26(29),NZ,ODI,Vadodara,11 Jan 26,89.6,3,2
"SOUTH AFRICA TOUR OF INDIA, 2025",75(73),RSA,ODI,Visakhapatnam,06 Dec 25,102.7,7,3
"SOUTH AFRICA TOUR OF INDIA, 2025",14(8),RSA,ODI,Raipur,03 Dec 25,175,3,0
"SOUTH AFRICA TOUR OF INDIA, 2025",57(51),RSA,ODI,Ranchi,30 Nov 25,111.7,5,3
"INDIA TOUR OF AUSTRALIA, 2025",121*(125),AUS,ODI,Sydney,25 Oct 25,96.8,13,3
"INDIA TOUR OF AUSTRALIA, 2025",73(97),AUS,ODI,Adelaide,23 Oct 25,75.2,7,2
"INDIA TOUR OF AUSTRALIA, 2025",8(14),AUS,ODI,Perth,19 Oct 25,57.1,1,0
INDIAN PREMIER LEAGUE 2025,8(7),PBKS,T20,Ahmedabad,01 Jun 25,114.2,1,0
INDIAN PREMIER LEAGUE 2025,81(50),GT,T20,New Chandigarh,30 May 25,162,9,4
INDIAN PREMIER LEAGUE 2025,24(21),PBKS,T20,Jaipur,26 May 25,114.2,2,1
INDIAN PREMIER LEAGUE 2025,5(5),DC,T20,Mumbai,21 May 25,100,1,0
INDIAN PREMIER LEAGUE 2025,7(8),GT,T20,Mumbai,06 May 25,87.5,1,0
INDIAN PREMIER LEAGUE 2025,53(36),RR,T20,Jaipur,01 May 25,147.2,9,0
INDIAN PREMIER LEAGUE 2025,12(5),LSG,T20,Mumbai,27 Apr 25,240,0,2
INDIAN PREMIER LEAGUE 2025,70(46),SRH,T20,Hyderabad,23 Apr 25,152.1,8,3
INDIAN PREMIER LEAGUE 2025,76*(45),CSK,T20,Mumbai,20 Apr 25,168.8,4,6
INDIAN PREMIER LEAGUE 2025,26(16),SRH,T20,Mumbai,17 Apr 25,162.5,0,3
INDIAN PREMIER LEAGUE 2025,18(12),DC,T20,Delhi,13 Apr 25,150,2,1
INDIAN PREMIER LEAGUE 2025,17(9),RCB,T20,Mumbai,07 Apr 25,188.8,2,1
INDIAN PREMIER LEAGUE 2025,13(12),KKR,T20,Mumbai,31 Mar 25,108.3,0,1
INDIAN PREMIER LEAGUE 2025,8(4),GT,T20,Ahmedabad,29 Mar 25,200,2,0
INDIAN PREMIER LEAGUE 2025,0(4),CSK,T20,Chennai,23 Mar 25,0,0,0
"ICC CHAMPIONS TROPHY, 2025",76(83),NZ,ODI,Dubai,09 Mar 25,91.5,7,3
"ICC CHAMPIONS TROPHY, 2025",28(29),AUS,ODI,Dubai,04 Mar 25,96.5,3,1
"ICC CHAMPIONS TROPHY, 2025",15(17),NZ,ODI,Dubai,02 Mar 25,88.2,1,1
"ICC CHAMPIONS TROPHY, 2025",20(15),PAK,ODI,Dubai,23 Feb 25,133.3,3,1
"ICC CHAMPIONS TROPHY, 2025",41(36),BAN,ODI,Dubai,20 Feb 25,113.8,7,0
"ENGLAND TOUR OF INDIA, 2025",1(2),ENG,ODI,Ahmedabad,12 Feb 25,50,0,0
"ENGLAND TOUR OF INDIA, 2025",119(90),ENG,ODI,Cuttack,09 Feb 25,132.2,12,7
"ENGLAND TOUR OF INDIA, 2025",2(7),ENG,ODI,Nagpur,06 Feb 25,28.5,0,0
"INDIA TOUR OF AUSTRALIA, 2024-25",3 & 9,AUS,Test,Melbourne,26 Dec 24,60 & 22.5,0 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",10 & DNB,AUS,Test,Brisbane,14 Dec 24,37 & DNB,2 & DNB,0 & DNB
