Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,23*(15),LSG,T20,Lucknow,07 May 26,153.3,3,1
INDIAN PREMIER LEAGUE 2026,17(15),GT,T20,Ahmedabad,30 Apr 26,113.3,0,2
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,27 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,Bengaluru,24 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,1(4),DC,T20,Bengaluru,18 Apr 26,25,0,0
INDIAN PREMIER LEAGUE 2026,14*(8),LSG,T20,Bengaluru,15 Apr 26,175,1,1
INDIAN PREMIER LEAGUE 2026,2*(2),MI,T20,Mumbai,12 Apr 26,100,0,0
INDIAN PREMIER LEAGUE 2026,22(11),RR,T20,Guwahati,10 Apr 26,200,2,1
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Bengaluru,05 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,Bengaluru,28 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,DNB,IND,T20I,Kolkata,01 Mar 26,DNB,DNB,DNB
ICC MEN'S T20 WORLD CUP 2026,52*(37),RSA,T20I,Ahmedabad,26 Feb 26,140.5,3,4
ICC MEN'S T20 WORLD CUP 2026,21(10),ZIM,T20I,Mumbai,23 Feb 26,210,0,3
ICC MEN'S T20 WORLD CUP 2026,1*(1),ENG,T20I,Mumbai,11 Feb 26,100,0,0
ICC MEN'S T20 WORLD CUP 2026,6*(3),SCO,T20I,Kolkata,07 Feb 26,200,0,1
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",3*(3),RSA,T20I,Johannesburg,31 Jan 26,100,0,0
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",17*(10),RSA,T20I,Centurion,29 Jan 26,170,1,1
"WEST INDIES TOUR OF SOUTH AFRICA, 2026",1*(1),RSA,T20I,Paarl,27 Jan 26,100,0,0
"WEST INDIES TOUR OF NEW ZEALAND, 2025",22(14),NZ,ODI,Napier,19 Nov 25,157.1,0,3
"WEST INDIES TOUR OF NEW ZEALAND, 2025",26*(19),NZ,ODI,Christchurch,16 Nov 25,136.8,1,1
"WEST INDIES TOUR OF NEW ZEALAND, 2025",36(22),NZ,T20I,Dunedin,13 Nov 25,163.6,3,3
"WEST INDIES TOUR OF NEW ZEALAND, 2025",DNB,NZ,T20I,Nelson,10 Nov 25,DNB,DNB,DNB
"WEST INDIES TOUR OF NEW ZEALAND, 2025",49(34),NZ,T20I,Nelson,09 Nov 25,144.1,4,3
"WEST INDIES TOUR OF NEW ZEALAND, 2025",34(16),NZ,T20I,Auckland,06 Nov 25,212.5,1,4
"WEST INDIES TOUR OF NEW ZEALAND, 2025",9*(5),NZ,T20I,Auckland,05 Nov 25,180,2,0
"WEST INDIES TOUR OF BANGLADESH, 2025",DNB,BAN,T20I,Chattogram,31 Oct 25,DNB,DNB,DNB
"WEST INDIES TOUR OF BANGLADESH, 2025",13(16),BAN,T20I,Chattogram,29 Oct 25,81.2,1,0
