Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"PAKISTAN TOUR OF BANGLADESH, 2026",0-35,BAN,ODI,Dhaka,15 Mar 26,5,7,0
"PAKISTAN TOUR OF BANGLADESH, 2026",0-12,BAN,ODI,Dhaka,11 Mar 26,6,2,0
ICC MEN'S T20 WORLD CUP 2026,1-10,IND,T20I,Colombo,15 Feb 26,5,2,0
PAKISTAN T20I TRI-SERIES 2025,0-8,SL,T20I,Rawalpindi,27 Nov 25,8,1,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",2-18,RSA,ODI,Faisalabad,08 Nov 25,4.5,4,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-24,RSA,ODI,Faisalabad,06 Nov 25,8,3,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-30,RSA,ODI,Faisalabad,04 Nov 25,10,3,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-15,RSA,T20I,Rawalpindi,28 Oct 25,15,1,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-10 & DNB,RSA,Test,Rawalpindi,20 Oct 25,5 & DNB,2 & DNB,0 & DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",1-21 & 0-7,RSA,Test,Lahore,12 Oct 25,3 & 1.7,7 & 4,2 & 1
ASIA CUP 2025,0-5,SL,T20I,Abu Dhabi,23 Sep 25,5,1,0
ASIA CUP 2025,1-9,UAE,T20I,Dubai,17 Sep 25,9,1,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,0-5,UAE,T20I,Sharjah,04 Sep 25,5,1,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,0-6,AFG,T20I,Sharjah,29 Aug 25,6,1,0
"PAKISTAN TOUR OF WEST INDIES, 2025",0-33,WI,ODI,"Tarouba, Trinidad",10 Aug 25,11,3,0
"PAKISTAN TOUR OF WEST INDIES, 2025",1-44,WI,ODI,"Tarouba, Trinidad",08 Aug 25,4.4,10,0
"PAKISTAN TOUR OF BANGLADESH, 2025",1-12,BAN,T20I,Dhaka,24 Jul 25,6,2,0
"BANGLADESH TOUR OF PAKISTAN, 2025",0-11,BAN,T20I,Lahore,01 Jun 25,11,1,0
"BANGLADESH TOUR OF PAKISTAN, 2025",0-20,BAN,T20I,Lahore,30 May 25,10,2,0
"BANGLADESH TOUR OF PAKISTAN, 2025",1-12,BAN,T20I,Lahore,28 May 25,12,1,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-16,NZ,ODI,Mount Maunganui,05 Apr 25,5.3,3,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-67,NZ,ODI,Napier,29 Mar 25,13.4,5,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-13,NZ,T20I,Auckland,21 Mar 25,13,1,0
"ICC CHAMPIONS TROPHY, 2025",0-10,IND,ODI,Dubai,23 Feb 25,5,2,0
"ICC CHAMPIONS TROPHY, 2025",0-15,NZ,ODI,Karachi,19 Feb 25,5,3,0
"PAKISTAN ODI TRI-SERIES, 2025",1-45,NZ,ODI,Karachi,14 Feb 25,4.5,10,0
"PAKISTAN ODI TRI-SERIES, 2025",0-33,RSA,ODI,Karachi,12 Feb 25,6.6,5,0
"PAKISTAN ODI TRI-SERIES, 2025",0-31,NZ,ODI,Lahore,08 Feb 25,7,4.4,0
