Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"GIBRALTAR TOUR OF MALTA, 2026",0-31,Malta,T20I,Marsa,08 May 26,10.3,3,0
"GIBRALTAR TOUR OF MALTA, 2026",1-17,Malta,T20I,Marsa,08 May 26,8.5,2,0
"GIBRALTAR TOUR OF MALTA, 2026",0-42,Malta,T20I,Marsa,07 May 26,14,3,0
"GIBRALTAR TOUR OF MALTA, 2026",1-35,Malta,T20I,Marsa,07 May 26,11.6,3,0
"SERBIA TOUR OF GIBRALTAR, 2024",1-23,SRB,T20I,Gibraltar,30 Sep 24,7.6,3,0
"SERBIA TOUR OF GIBRALTAR, 2024",2-20,SRB,T20I,Gibraltar,30 Sep 24,5,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-23,NOR,T20I,Krefeld,13 Jul 24,11.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-25,SWE,T20I,Krefeld,11 Jul 24,12.5,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",0-24,SLV,T20I,Krefeld,10 Jul 24,7.2,3.3,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EUROPE QUALIFIER B, 2024",4-33,GER,T20I,Krefeld,08 Jul 24,9.7,3.4,0
CONTINENTAL CUP 2024,0-39,HUN,T20I,Ilfov County,26 May 24,15.6,2.5,0
CONTINENTAL CUP 2024,5-16,ROM,T20I,Ilfov County,25 May 24,4,4,0
CONTINENTAL CUP 2024,2-44,BGR,T20I,Ilfov County,24 May 24,11,4,0
CONTINENTAL CUP 2024,0-19,HUN,T20I,Ilfov County,24 May 24,9.5,2,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,1-36,LUX,T20I,Gibraltar,15 Oct 23,9,4,0
LUXEMBOURG TOUR OF GIBRALTAR 2023,3-16,LUX,T20I,Gibraltar,15 Oct 23,4,4,0
SERBIA TOUR OF GIBRALTAR 2023,2-23,SRB,T20I,Gibraltar,05 Oct 23,5.7,4,0
SERBIA TOUR OF GIBRALTAR 2023,1-16,SRB,T20I,Gibraltar,05 Oct 23,4,4,0
ESTONIA TOUR OF GIBRALTAR 2023,1-18,EST,T20I,Gibraltar,30 Sep 23,9,2,0
ESTONIA TOUR OF GIBRALTAR 2023,2-30,EST,T20I,Gibraltar,30 Sep 23,7.5,4,0
GIBRALTAR T20I TRI-SERIES 2023,1-29,Malta,T20I,Gibraltar,07 May 23,7.2,4,0
GIBRALTAR T20I TRI-SERIES 2023,0-3,Malta,T20I,Gibraltar,06 May 23,3,1,0
GIBRALTAR T20I TRI-SERIES 2023,0-21,Malta,T20I,Gibraltar,05 May 23,10.5,2,0
GIBRALTAR T20I TRI-SERIES 2023,1-35,PORT,T20I,Gibraltar,04 May 23,8.7,4,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-14,PORT,T20I,Albergaria,11 Apr 23,7,2,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",0-42,PORT,T20I,Albergaria,11 Apr 23,13.5,3.1,0
"GIBRALTAR TOUR OF PORTUGAL, 2023",1-34,PORT,T20I,Albergaria,10 Apr 23,11.3,3,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,1-45,DEN,T20I,Brussels,29 Jun 22,15,3,0
ICC MENS T20 WORLD CUP EUROPE QUALIFIER GROUP C 2022,1-3,BEL,T20I,Ghent,28 Jun 22,3,1,0
VALLETTA CUP 2022,0-32,BGR,T20I,Marsa,15 May 22,8,4,0
VALLETTA CUP 2022,0-20,ROM,T20I,Marsa,14 May 22,20,1,0
VALLETTA CUP 2022,2-18,BGR,T20I,Marsa,13 May 22,6,3,0
VALLETTA CUP 2022,0-23,CZE,T20I,Marsa,11 May 22,11.5,2,0
VALLETTA CUP 2022,1-21,Malta,T20I,Marsa,10 May 22,7,3,0
VALLETTA CUP 2022,3-26,HUN,T20I,Marsa,10 May 22,7.6,3.4,0
