Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,3(7),KKR,T20,Delhi,08 May 26,42.8,0,0
INDIAN PREMIER LEAGUE 2026,40*(24),CSK,T20,Delhi,05 May 26,166.6,0,4
INDIAN PREMIER LEAGUE 2026,DNB,RR,T20,Jaipur,01 May 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,0(1),RCB,T20,Delhi,27 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,DNB,PBKS,T20,Delhi,25 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,41(28),SRH,T20,Hyderabad,21 Apr 26,146.4,2,2
INDIAN PREMIER LEAGUE 2026,2(3),RCB,T20,Bengaluru,18 Apr 26,66.6,0,0
INDIAN PREMIER LEAGUE 2026,6(9),CSK,T20,Chennai,11 Apr 26,66.6,1,0
INDIAN PREMIER LEAGUE 2026,0(1),GT,T20,Delhi,08 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,90(51),MI,T20,Delhi,04 Apr 26,176.4,7,7
INDIAN PREMIER LEAGUE 2026,70*(47),LSG,T20,Lucknow,01 Apr 26,148.9,5,4
INDIAN PREMIER LEAGUE 2025,58*(25),PBKS,T20,Jaipur,24 May 25,232,3,5
INDIAN PREMIER LEAGUE 2025,39(35),MI,T20,Mumbai,21 May 25,111.4,6,1
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,20(15),CSK,T20,Chennai,05 Apr 25,133.3,1,1
INDIAN PREMIER LEAGUE 2025,4(4),LSG,T20,Visakhapatnam,24 Mar 25,100,1,0
INDIAN PREMIER LEAGUE 2024,15*(8),RR,T20,Chennai,12 May 24,187.5,3,0
INDIAN PREMIER LEAGUE 2024,21(23),PBKS,T20,Chennai,01 May 24,91.3,1,0
INDIAN PREMIER LEAGUE 2024,1(5),LSG,T20,Lucknow,19 Apr 24,20,0,0
INDIAN PREMIER LEAGUE 2024,DNB,MI,T20,Mumbai,14 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Chennai,08 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,0(1),DC,T20,Visakhapatnam,31 Mar 24,0,0,0
INDIAN PREMIER LEAGUE 2024,14(6),GT,T20,Chennai,26 Mar 24,233.3,0,2
INDIAN PREMIER LEAGUE 2024,DNB,RCB,T20,Chennai,22 Mar 24,DNB,DNB,DNB
