Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,10*(25),CIS,T20I,Nisshin,08 May 26,40,0,0
INDONESIA T20I TRI-SERIES 2025,2(6),IDN,T20I,Bali,13 Jul 25,33.3,0,0
INDONESIA T20I TRI-SERIES 2025,3(4),PHI,T20I,Bali,12 Jul 25,75,0,0
INDONESIA T20I TRI-SERIES 2025,24(26),IDN,T20I,Bali,12 Jul 25,92.3,2,1
INDONESIA T20I TRI-SERIES 2025,51*(50),PHI,T20I,Bali,10 Jul 25,102,6,1
INDONESIA T20I TRI-SERIES 2025,27*(21),PHI,T20I,Bali,09 Jul 25,128.5,4,0
INDONESIA T20I TRI-SERIES 2025,12(21),IDN,T20I,Bali,09 Jul 25,57.1,2,0
INDONESIA T20I TRI-SERIES 2025,26(15),IDN,T20I,Bali,08 Jul 25,173.3,2,2
INDONESIA T20I TRI-SERIES 2025,9(12),PHI,T20I,Bali,07 Jul 25,75,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",2(4),PHI,T20I,Incheon,05 Oct 24,50,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",14(35),JPN,T20I,Incheon,04 Oct 24,40,2,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3*(3),IDN,T20I,Incheon,02 Oct 24,100,0,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",11(10),PHI,T20I,Incheon,01 Oct 24,110,1,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",13(21),JPN,T20I,Incheon,29 Sep 24,61.9,0,1
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER B, 2024",3*(4),IDN,T20I,Incheon,28 Sep 24,75,0,0
