Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"PAKISTAN TOUR OF BANGLADESH, 2026",1-55,BAN,ODI,Dhaka,15 Mar 26,5.5,10,0
"PAKISTAN TOUR OF BANGLADESH, 2026",2-22,BAN,ODI,Dhaka,13 Mar 26,4.4,5,0
"PAKISTAN TOUR OF BANGLADESH, 2026",1-35,BAN,ODI,Dhaka,11 Mar 26,7,5,1
ICC MEN'S T20 WORLD CUP 2026,1-48,SL,T20I,Pallekele,28 Feb 26,12,4,0
ICC MEN'S T20 WORLD CUP 2026,4-30,ENG,T20I,Pallekele,24 Feb 26,7.5,4,0
ICC MEN'S T20 WORLD CUP 2026,1-31,IND,T20I,Colombo,15 Feb 26,15.5,2,0
ICC MEN'S T20 WORLD CUP 2026,1-42,USA,T20I,Colombo,10 Feb 26,10.5,4,0
ICC MEN'S T20 WORLD CUP 2026,1-28,NED,T20I,Colombo,07 Feb 26,9.3,3,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",2-16,AUS,T20I,Lahore,01 Feb 26,5.3,3,0
"AUSTRALIA TOUR OF PAKISTAN, 2026",0-29,AUS,T20I,Lahore,29 Jan 26,9.6,3,0
PAKISTAN T20I TRI-SERIES 2025,3-18,SL,T20I,Rawalpindi,29 Nov 25,6,3,0
PAKISTAN T20I TRI-SERIES 2025,1-34,ZIM,T20I,Rawalpindi,18 Nov 25,8.5,4,0
SRI LANKA TOUR OF PAKISTAN 2025,1-36,SL,ODI,Rawalpindi,16 Nov 25,5,7.2,1
SRI LANKA TOUR OF PAKISTAN 2025,0-50,SL,ODI,Rawalpindi,11 Nov 25,5,10,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",2-18,RSA,ODI,Faisalabad,08 Nov 25,4,4.5,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-41,RSA,ODI,Faisalabad,06 Nov 25,5.8,7,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",1-55,RSA,ODI,Faisalabad,04 Nov 25,5.5,10,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",3-26,RSA,T20I,Lahore,01 Nov 25,6.5,4,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",1-45,RSA,T20I,Rawalpindi,28 Oct 25,11.2,4,0
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",1-95 & DNB,RSA,Test,Rawalpindi,20 Oct 25,3.6 & DNB,26 & DNB,2 & DNB
"SOUTH AFRICA TOUR OF PAKISTAN, 2025",0-15 & 4-33,RSA,Test,Lahore,12 Oct 25,3 & 3.8,5 & 8.5,2 & 1
ASIA CUP 2025,1-20,IND,T20I,Dubai,28 Sep 25,5,4,0
ASIA CUP 2025,3-17,BAN,T20I,Dubai,25 Sep 25,4.2,4,0
ASIA CUP 2025,3-28,SL,T20I,Abu Dhabi,23 Sep 25,7,4,0
ASIA CUP 2025,0-40,IND,T20I,Dubai,21 Sep 25,11.4,3.5,0
ASIA CUP 2025,2-16,UAE,T20I,Dubai,17 Sep 25,5.3,3,0
ASIA CUP 2025,0-23,IND,T20I,Dubai,14 Sep 25,11.5,2,0
ASIA CUP 2025,1-20,OMAN,T20I,Dubai,12 Sep 25,5,4,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,1-7,AFG,T20I,Sharjah,07 Sep 25,3.5,2,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,1-23,UAE,T20I,Sharjah,04 Sep 25,5.7,4,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,0-27,AFG,T20I,Sharjah,02 Sep 25,6.7,4,0
UNITED ARAB EMIRATES T20I TRI-SERIES 2025,2-21,AFG,T20I,Sharjah,29 Aug 25,5.2,4,0
"PAKISTAN TOUR OF WEST INDIES, 2025",0-35,WI,ODI,"Tarouba, Trinidad",10 Aug 25,5.8,6,0
"PAKISTAN TOUR OF WEST INDIES, 2025",4-51,WI,ODI,"Tarouba, Trinidad",08 Aug 25,6.3,8,0
"PAKISTAN TOUR OF WEST INDIES, 2025",1-31,WI,T20I,"Lauderhill, Florida",03 Aug 25,7.7,4,0
"PAKISTAN TOUR OF WEST INDIES, 2025",1-27,WI,T20I,"Lauderhill, Florida",01 Aug 25,6.7,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-49,NZ,T20I,Mount Maunganui,23 Mar 25,12.2,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",2-36,NZ,T20I,Auckland,21 Mar 25,9,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-31,NZ,T20I,Dunedin,18 Mar 25,10.3,3,1
"PAKISTAN TOUR OF NEW ZEALAND, 2025",0-17,NZ,T20I,Christchurch,16 Mar 25,8.5,2,0
"ICC CHAMPIONS TROPHY, 2025",2-74,IND,ODI,Dubai,23 Feb 25,9.2,8,0
"ICC CHAMPIONS TROPHY, 2025",0-68,NZ,ODI,Karachi,19 Feb 25,6.8,10,0
"PAKISTAN ODI TRI-SERIES, 2025",1-45,NZ,ODI,Karachi,14 Feb 25,5,9,0
"PAKISTAN ODI TRI-SERIES, 2025",2-66,RSA,ODI,Karachi,12 Feb 25,6.6,10,0
"PAKISTAN ODI TRI-SERIES, 2025",3-88,NZ,ODI,Lahore,08 Feb 25,8.8,10,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",2-70,RSA,ODI,Johannesburg,22 Dec 24,10,7,1
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",4-47,RSA,ODI,Cape Town,19 Dec 24,5.8,8,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",1-46,RSA,ODI,Paarl,17 Dec 24,4.6,10,1
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",0-37,RSA,T20I,Centurion,13 Dec 24,9.2,4,0
"PAKISTAN TOUR OF SOUTH AFRICA, 2024 -25",3-22,RSA,T20I,Durban,10 Dec 24,5.5,4,0
"PAKISTAN TOUR OF AUSTRALIA, 2024",1-43,AUS,T20I,Hobart,18 Nov 24,14.3,3,0
"PAKISTAN TOUR OF AUSTRALIA, 2024",0-39,AUS,T20I,Sydney,16 Nov 24,9.7,4,0
"PAKISTAN TOUR OF AUSTRALIA, 2024",0-25,AUS,T20I,Brisbane,14 Nov 24,12.5,2,0
"PAKISTAN TOUR OF AUSTRALIA, 2024",3-32,AUS,ODI,Perth,10 Nov 24,3.7,8.5,1
"PAKISTAN TOUR OF AUSTRALIA, 2024",3-26,AUS,ODI,Adelaide,08 Nov 24,3.2,8,1
"PAKISTAN TOUR OF AUSTRALIA, 2024",2-43,AUS,ODI,Melbourne,04 Nov 24,4.3,10,0
"ENGLAND TOUR OF PAKISTAN, 2024",1-120 & DNB,ENG,Test,Multan,07 Oct 24,4.6 & DNB,26 & DNB,1 & DNB
"BANGLADESH TOUR OF PAKISTAN, 2024",2-88 & 0-8,BAN,Test,Rawalpindi,21 Aug 24,2.9 & 4,30 & 2,3 & 0
ICC MENS T20 WORLD CUP 2024,3-22,IRE,T20I,"Lauderhill, Florida",16 Jun 24,5.5,4,0
ICC MENS T20 WORLD CUP 2024,1-21,CAN,T20I,New York,11 Jun 24,5.2,4,0
ICC MENS T20 WORLD CUP 2024,1-29,IND,T20I,New York,09 Jun 24,7.2,4,0
ICC MENS T20 WORLD CUP 2024,0-33,USA,T20I,Dallas,06 Jun 24,8.2,4,0
"PAKISTAN TOUR OF ENGLAND, 2024",0-20,ENG,T20I,London,30 May 24,6.6,3,0
"PAKISTAN TOUR OF ENGLAND, 2024",3-36,ENG,T20I,Birmingham,25 May 24,9,4,0
"PAKISTAN TOUR OF IRELAND, 2024",3-14,IRE,T20I,Dublin,14 May 24,3.5,4,0
"PAKISTAN TOUR OF IRELAND, 2024",3-49,IRE,T20I,Dublin,12 May 24,12.2,4,0
"PAKISTAN TOUR OF IRELAND, 2024",1-26,IRE,T20I,Dublin,10 May 24,6.5,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2024",4-30,NZ,T20I,Lahore,27 Apr 24,7.5,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2024",0-37,NZ,T20I,Rawalpindi,21 Apr 24,11.5,3.2,0
"NEW ZEALAND TOUR OF PAKISTAN, 2024",3-13,NZ,T20I,Rawalpindi,20 Apr 24,4.1,3.1,0
"NEW ZEALAND TOUR OF PAKISTAN, 2024",1-0,NZ,T20I,Rawalpindi,18 Apr 24,0,0.2,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",2-20,NZ,T20I,Christchurch,21 Jan 24,6.2,3.2,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",3-34,NZ,T20I,Christchurch,19 Jan 24,8.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",1-43,NZ,T20I,Dunedin,17 Jan 24,10.7,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",0-30,NZ,T20I,Hamilton,14 Jan 24,7.5,4,0
"PAKISTAN TOUR OF NEW ZEALAND, 2024",3-46,NZ,T20I,Auckland,12 Jan 24,11.5,4,0
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",2-85 & 4-76,AUS,Test,Melbourne,26 Dec 23,3.1 & 2.8,27 & 27,5 & 4
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",1-96 & 1-76,AUS,Test,Perth,14 Dec 23,3.5 & 4.1,27 & 18.2,7 & 4
ICC CRICKET WORLD CUP 2023,2-72,ENG,ODI,Kolkata,11 Nov 23,7.2,10,1
ICC CRICKET WORLD CUP 2023,0-90,NZ,ODI,Bengaluru,04 Nov 23,9,10,0
ICC CRICKET WORLD CUP 2023,3-23,BAN,ODI,Kolkata,31 Oct 23,2.5,9,1
ICC CRICKET WORLD CUP 2023,3-45,RSA,ODI,Chennai,27 Oct 23,4.5,10,0
ICC CRICKET WORLD CUP 2023,1-58,AFG,ODI,Chennai,23 Oct 23,5.8,10,0
ICC CRICKET WORLD CUP 2023,5-54,AUS,ODI,Bengaluru,20 Oct 23,5.4,10,1
ICC CRICKET WORLD CUP 2023,2-36,IND,ODI,Ahmedabad,14 Oct 23,6,6,0
ICC CRICKET WORLD CUP 2023,1-66,SL,ODI,Hyderabad,10 Oct 23,7.3,9,0
ICC CRICKET WORLD CUP 2023,1-37,NED,ODI,Hyderabad,06 Oct 23,5.2,7,0
"ASIA CUP, 2023",2-52,SL,ODI,Colombo,14 Sep 23,5.7,9,0
"ASIA CUP, 2023",1-79,IND,ODI,Colombo,10 Sep 23,7.9,10,0
"ASIA CUP, 2023",1-42,BAN,ODI,Lahore,06 Sep 23,6,7,1
"ASIA CUP, 2023",4-35,IND,ODI,Pallekele,02 Sep 23,3.5,10,2
"ASIA CUP, 2023",2-27,NEP,ODI,Multan,30 Aug 23,5.4,5,0
"AFGHANISTAN V PAKISTAN IN SRI LANKA, 2023",2-31,AFG,ODI,Colombo,26 Aug 23,3.3,9.4,0
"AFGHANISTAN V PAKISTAN IN SRI LANKA, 2023",2-58,AFG,ODI,Hambantota,24 Aug 23,5.8,10,0
"AFGHANISTAN V PAKISTAN IN SRI LANKA, 2023",2-9,AFG,ODI,Hambantota,22 Aug 23,2.2,4,2
"PAKISTAN TOUR OF SRI LANKA, 2023",1-44 & 0-30,SL,Test,Colombo,24 Jul 23,4 & 2.5,11 & 12,1 & 5
"PAKISTAN TOUR OF SRI LANKA, 2023",3-86 & 2-64,SL,Test,Galle,16 Jul 23,3.5 & 4.9,24 & 13,3 & 0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",3-46,NZ,ODI,Karachi,07 May 23,4.6,10,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",1-34,NZ,ODI,Karachi,05 May 23,5.6,6,1
"NEW ZEALAND TOUR OF PAKISTAN, 2023",2-53,NZ,ODI,Karachi,03 May 23,5.8,9,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",2-63,NZ,ODI,Rawalpindi,27 Apr 23,6.3,10,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",2-48,NZ,T20I,Rawalpindi,24 Apr 23,12,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",1-40,NZ,T20I,Rawalpindi,20 Apr 23,10,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",2-33,NZ,T20I,Lahore,17 Apr 23,8.2,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",0-25,NZ,T20I,Lahore,15 Apr 23,6.2,4,0
"NEW ZEALAND TOUR OF PAKISTAN, 2023",1-11,NZ,T20I,Lahore,14 Apr 23,5.5,2,0
ICC MENS T20 WORLD CUP 2022,1-13,ENG,T20I,Melbourne,13 Nov 22,6.1,2.1,0
ICC MENS T20 WORLD CUP 2022,2-24,NZ,T20I,Sydney,09 Nov 22,6,4,0
ICC MENS T20 WORLD CUP 2022,4-22,BAN,T20I,Adelaide,06 Nov 22,5.5,4,0
ICC MENS T20 WORLD CUP 2022,3-14,RSA,T20I,Sydney,03 Nov 22,4.6,3,0
ICC MENS T20 WORLD CUP 2022,1-19,NED,T20I,Perth,30 Oct 22,4.7,4,0
ICC MENS T20 WORLD CUP 2022,0-29,ZIM,T20I,Perth,27 Oct 22,7.2,4,0
ICC MENS T20 WORLD CUP 2022,0-34,IND,T20I,Melbourne,23 Oct 22,8.5,4,0
"PAKISTAN TOUR OF SRI LANKA, 2022",4-58 & 0-21,SL,Test,Galle,16 Jul 22,4.1 & 3,14.1 & 7,3 & 2
"WEST INDIES TOUR OF PAKISTAN, 2021-22",1-17,WI,ODI,Multan,10 Jun 22,4.2,4,1
"WEST INDIES TOUR OF PAKISTAN, 2021-22",2-55,WI,ODI,Multan,08 Jun 22,5.5,10,1
"AUSTRALIA TOUR OF PAKISTAN, 2022",2-21,AUS,T20I,Lahore,05 Apr 22,5.2,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",2-40,AUS,ODI,Lahore,02 Apr 22,5,8,2
"AUSTRALIA TOUR OF PAKISTAN, 2022",4-63,AUS,ODI,Lahore,31 Mar 22,6.3,10,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",4-79 & 1-45,AUS,Test,Lahore,21 Mar 22,3.2 & 4,24.3 & 11,3 & 2
"AUSTRALIA TOUR OF PAKISTAN, 2022",1-95 & 1-21,AUS,Test,Karachi,12 Mar 22,2.9 & 3.3,32 & 6.3,8 & 0
"AUSTRALIA TOUR OF PAKISTAN, 2022",2-88 & DNB,AUS,Test,Rawalpindi,04 Mar 22,2.9 & DNB,30 & DNB,5 & DNB
"WEST INDIES TOUR OF PAKISTAN, 2021-22",3-26,WI,T20I,Karachi,14 Dec 21,6.5,4,0
"WEST INDIES TOUR OF PAKISTAN, 2021-22",1-35,WI,T20I,Karachi,13 Dec 21,8.7,4,0
"PAKISTAN TOUR OF BANGLADESH, 2021",1-3 & 2-31,BAN,Test,Dhaka,04 Dec 21,0.7 & 2,4 & 15,3 & 5
"PAKISTAN TOUR OF BANGLADESH, 2021",2-70 & 5-32,BAN,Test,Chattogram,26 Nov 21,2.5 & 2.1,27 & 15,8 & 8
"PAKISTAN TOUR OF BANGLADESH, 2021",2-15,BAN,T20I,Dhaka,20 Nov 21,3.7,4,0
ICC MENS T20 WORLD CUP 2021,1-35,AUS,T20I,Dubai,11 Nov 21,8.7,4,0
