Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,1-42,PBKS,T20,Mumbai,16 Apr 26,14,3,0
INDIAN PREMIER LEAGUE 2026,1-32,RCB,T20,Mumbai,12 Apr 26,16,2,0
INDIAN PREMIER LEAGUE 2026,1-36,RR,T20,Guwahati,07 Apr 26,18,2,0
INDIAN PREMIER LEAGUE 2026,0-41,DC,T20,Delhi,04 Apr 26,13.6,3,0
INDIAN PREMIER LEAGUE 2026,3-39,KKR,T20,Mumbai,29 Mar 26,9.7,4,0
"INDIA TOUR OF ENGLAND, 2025",0-55 & DNB,ENG,Test,Manchester,23 Jul 25,5 & DNB,11 & DNB,0 & DNB
"INDIA TOUR OF ENGLAND, 2025",0-38 & 2-51,ENG,Test,Leeds,20 Jun 25,6.3 & 5.1,6 & 10,0 & 0
INDIAN PREMIER LEAGUE 2025,1-39,SRH,T20,Lucknow,19 May 25,9.7,4,0
INDIAN PREMIER LEAGUE 2025,0-28,DC,T20,Lucknow,22 Apr 25,14,2,0
INDIAN PREMIER LEAGUE 2025,1-34,RR,T20,Jaipur,19 Apr 25,11.3,3,0
INDIAN PREMIER LEAGUE 2025,0-56,CSK,T20,Lucknow,14 Apr 25,14,4,0
INDIAN PREMIER LEAGUE 2025,2-34,GT,T20,Lucknow,12 Apr 25,8.5,4,0
INDIAN PREMIER LEAGUE 2025,2-52,KKR,T20,Kolkata,08 Apr 25,13,4,0
INDIAN PREMIER LEAGUE 2025,1-40,MI,T20,Lucknow,04 Apr 25,10,4,0
INDIAN PREMIER LEAGUE 2025,0-39,PBKS,T20,Lucknow,01 Apr 25,13,3,0
INDIAN PREMIER LEAGUE 2025,4-34,SRH,T20,Hyderabad,27 Mar 25,8.5,4,0
INDIAN PREMIER LEAGUE 2025,2-19,DC,T20,Visakhapatnam,24 Mar 25,9.5,2,0
INDIAN PREMIER LEAGUE 2024,2-61,RCB,T20,Bengaluru,18 May 24,15.2,4,0
INDIAN PREMIER LEAGUE 2024,0-32,RR,T20,Chennai,12 May 24,8,4,0
INDIAN PREMIER LEAGUE 2024,0-25,GT,T20,Ahmedabad,10 May 24,6.2,4,0
INDIAN PREMIER LEAGUE 2024,1-12,PBKS,T20,Dharamsala,05 May 24,6,2,0
INDIAN PREMIER LEAGUE 2024,1-48,PBKS,T20,Chennai,01 May 24,14.1,3.4,0
INDIAN PREMIER LEAGUE 2024,1-27,SRH,T20,Chennai,28 Apr 24,6.7,4,0
INDIAN PREMIER LEAGUE 2024,0-42,LSG,T20,Chennai,23 Apr 24,14,3,0
INDIAN PREMIER LEAGUE 2024,0-35,MI,T20,Mumbai,14 Apr 24,8.7,4,0
INDIAN PREMIER LEAGUE 2024,0-27,KKR,T20,Chennai,08 Apr 24,9,3,0
"INDIA TOUR OF SOUTH AFRICA, 2023-24",1-101 & DNB,RSA,Test,Centurion,26 Dec 23,5.3 & DNB,19 & DNB,2 & DNB
ICC CRICKET WORLD CUP 2023,1-59,BAN,ODI,Pune,19 Oct 23,6.5,9,0
ICC CRICKET WORLD CUP 2023,0-12,PAK,ODI,Ahmedabad,14 Oct 23,6,2,0
ICC CRICKET WORLD CUP 2023,1-31,AFG,ODI,Delhi,11 Oct 23,5.1,6,0
"AUSTRALIA TOUR OF INDIA, 2023",0-35,AUS,ODI,Indore,24 Sep 23,8.7,4,0
"AUSTRALIA TOUR OF INDIA, 2023",0-78,AUS,ODI,Mohali,22 Sep 23,7.8,10,0
"ASIA CUP, 2023",3-65,BAN,ODI,Colombo,15 Sep 23,6.5,10,0
"ASIA CUP, 2023",1-16,PAK,ODI,Colombo,10 Sep 23,4,4,0
"ASIA CUP, 2023",1-26,NEP,ODI,Pallekele,04 Sep 23,6.5,4,0
"INDIA TOUR OF WEST INDIES, 2023",4-37,WI,ODI,"Tarouba, Trinidad",01 Aug 23,5.8,6.3,0
"INDIA TOUR OF WEST INDIES, 2023",3-42,WI,ODI,"Bridgetown, Barbados",29 Jul 23,5.2,8,0
"INDIA TOUR OF WEST INDIES, 2023",1-14,WI,ODI,"Bridgetown, Barbados",27 Jul 23,4.6,3,1
"INDIA TOUR OF WEST INDIES, 2023",1-15 & DNB,WI,Test,"Roseau, Dominica",12 Jul 23,2.1 & DNB,7 & DNB,3 & DNB
ICC WORLD TEST CHAMPIONSHIP FINAL 2023,2-83 & 0-21,AUS,Test,London,07 Jun 23,3.6 & 2.6,23 & 8,4 & 1
INDIAN PREMIER LEAGUE 2023,2-27,LSG,T20,Kolkata,20 May 23,13.5,2,0
INDIAN PREMIER LEAGUE 2023,1-15,CSK,T20,Chennai,14 May 23,5,3,0
INDIAN PREMIER LEAGUE 2023,0-18,RR,T20,Kolkata,11 May 23,16.3,1.1,0
INDIAN PREMIER LEAGUE 2023,2-23,SRH,T20,Hyderabad,04 May 23,7.6,3,0
INDIAN PREMIER LEAGUE 2023,1-25,MI,T20,Mumbai,16 Apr 23,12.5,2,0
INDIAN PREMIER LEAGUE 2023,0-14,SRH,T20,Kolkata,14 Apr 23,28,0.5,0
