Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"WEST INDIES TOUR OF ENGLAND, 2025",1-20,ENG,T20I,Southampton,10 Jun 25,10,2,0
"BANGLADESH TOUR OF WEST INDIES, 2024",1-37,BAN,ODI,"Basseterre, St Kitts",12 Dec 24,6.1,6,1
"ENGLAND TOUR OF WEST INDIES, 2024",0-57,ENG,ODI,"Bridgetown, Barbados",06 Nov 24,16.2,3.5,0
"ENGLAND TOUR OF WEST INDIES, 2024",0-9,ENG,ODI,"North Sound, Antigua",02 Nov 24,4.5,2,0
"WEST INDIES TOUR OF SRI LANKA, 2024",1-27,SL,ODI,Pallekele,26 Oct 24,13.5,2,0
"ENGLAND TOUR OF WEST INDIES, 2023",0-23,ENG,T20I,"Tarouba, Trinidad",19 Dec 23,23,1,0
"ENGLAND TOUR OF WEST INDIES, 2023",1-24,ENG,ODI,"North Sound, Antigua",06 Dec 23,6,4,0
"IRELAND TOUR OF WEST INDIES, 2020",1-21,IRE,T20I,"Basseterre, St Kitts",19 Jan 20,7,3,0
"AFGHANISTAN V WEST INDIES IN INDIA, 2019",0-28,AFG,T20I,Lucknow,14 Nov 19,9.3,3,0
INDIAN PREMIER LEAGUE 2019,0-11,SRH,T20,Visakhapatnam,08 May 19,11,1,0
INDIAN PREMIER LEAGUE 2019,0-2,RR,T20,Delhi,04 May 19,4,0.5,0
INDIAN PREMIER LEAGUE 2019,0-19,CSK,T20,Chennai,01 May 19,9.5,2,0
INDIAN PREMIER LEAGUE 2019,1-6,RCB,T20,Delhi,28 Apr 19,6,1,0
INDIAN PREMIER LEAGUE 2019,0-16,RR,T20,Jaipur,22 Apr 19,16,1,0
INDIAN PREMIER LEAGUE 2019,0-5,PBKS,T20,Delhi,20 Apr 19,5,1,0
