Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-7,GT,T20,Chennai,26 Apr 26,7,1,0
INDIAN PREMIER LEAGUE 2026,1-30,RCB,T20,Bengaluru,05 Apr 26,15,2,0
ICC MEN'S T20 WORLD CUP 2026,0-22,ENG,T20I,Mumbai,05 Mar 26,22,1,0
ICC MEN'S T20 WORLD CUP 2026,1-46,ZIM,T20I,Chennai,26 Feb 26,23,2,0
ICC MEN'S T20 WORLD CUP 2026,1-32,RSA,T20I,Ahmedabad,22 Feb 26,16,2,0
ICC MEN'S T20 WORLD CUP 2026,2-35,NED,T20I,Ahmedabad,18 Feb 26,11.6,3,0
ICC MEN'S T20 WORLD CUP 2026,1-11,NAM,T20I,Delhi,12 Feb 26,5,2.2,0
"NEW ZEALAND TOUR OF INDIA, 2026",0-24,NZ,T20I,Guwahati,25 Jan 26,12,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-7,NZ,T20I,Raipur,23 Jan 26,7,1,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-28,NZ,T20I,Nagpur,21 Jan 26,9.3,3,0
"SOUTH AFRICA TOUR OF INDIA, 2025",1-21,RSA,T20I,Dharamsala,14 Dec 25,7,3,0
"SOUTH AFRICA TOUR OF INDIA, 2025",0-18,RSA,T20I,New Chandigarh,11 Dec 25,9,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",1-1,RSA,T20I,Cuttack,09 Dec 25,3.3,0.3,0
"INDIA TOUR OF AUSTRALIA, 2025",2-20,AUS,T20I,Queensland,06 Nov 25,10,2,0
"INDIA TOUR OF AUSTRALIA, 2025",1-43,AUS,T20I,Hobart,02 Nov 25,14.3,3,0
ASIA CUP 2025,0-23,PAK,T20I,Dubai,28 Sep 25,7.6,3,0
ASIA CUP 2025,0-10,BAN,T20I,Dubai,24 Sep 25,10,1,0
ASIA CUP 2025,2-33,PAK,T20I,Dubai,21 Sep 25,8.2,4,0
ASIA CUP 2025,0-31,OMAN,T20I,Abu Dhabi,19 Sep 25,10.3,3,0
ASIA CUP 2025,3-4,UAE,T20I,Dubai,10 Sep 25,2,2,0
INDIAN PREMIER LEAGUE 2025,0-33,GT,T20,Ahmedabad,25 May 25,16.5,2,0
"ENGLAND TOUR OF INDIA, 2025",2-11,ENG,T20I,Mumbai,02 Feb 25,5.5,2,0
"INDIA TOUR OF SRI LANKA, 2024",0-9,SL,ODI,Colombo,07 Aug 24,2.2,4,0
"INDIA TOUR OF SRI LANKA, 2024",0-10,SL,ODI,Colombo,04 Aug 24,5,2,0
"INDIA TOUR OF SRI LANKA, 2024",1-19,SL,ODI,Colombo,02 Aug 24,4.7,4,0
"INDIA TOUR OF ZIMBABWE, 2024",2-25,ZIM,T20I,Harare,14 Jul 24,6.2,4,0
"INDIA TOUR OF ZIMBABWE, 2024",1-11,ZIM,T20I,Harare,13 Jul 24,5.5,2,0
"INDIA TOUR OF ZIMBABWE, 2024",0-27,ZIM,T20I,Harare,10 Jul 24,13.5,2,0
ICC MENS T20 WORLD CUP 2024,0-11,USA,T20I,New York,12 Jun 24,11,1,0
INDIAN PREMIER LEAGUE 2024,1-14,PBKS,T20,Chennai,01 May 24,14,1,0
"AFGHANISTAN TOUR OF INDIA, 2024",0-25,AFG,T20I,Bengaluru,17 Jan 24,12.5,2,0
"AFGHANISTAN TOUR OF INDIA, 2024",1-36,AFG,T20I,Indore,14 Jan 24,12,3,0
"AFGHANISTAN TOUR OF INDIA, 2024",1-9,AFG,T20I,Mohali,11 Jan 24,4.5,2,0
ASIAN GAMES MENS T20I 2023,1-4,AFG,T20I,Hangzhou,07 Oct 23,4,1,0
ASIAN GAMES MENS T20I 2023,0-9,BAN,T20I,Hangzhou,06 Oct 23,9,1,0
ASIAN GAMES MENS T20I 2023,0-37,NEP,T20I,Hangzhou,03 Oct 23,12.3,3,0
"INDIA TOUR OF IRELAND, 2023",0-18,IRE,T20I,Dublin,20 Aug 23,9,2,0
"INDIA TOUR OF IRELAND, 2023",0-6,IRE,T20I,Dublin,18 Aug 23,6,1,0
INDIAN PREMIER LEAGUE 2022,0-25,LSG,T20,Mumbai,31 Mar 22,25,1,0
INDIAN PREMIER LEAGUE 2022,0-11,KKR,T20,Mumbai,26 Mar 22,11,1,0
INDIAN PREMIER LEAGUE 2021,0-18,KKR,T20,Sharjah,07 Oct 21,9,2,0
INDIAN PREMIER LEAGUE 2021,0-6,MI,T20,Delhi,29 Apr 21,6,1,0
INDIAN PREMIER LEAGUE 2021,0-5,KKR,T20,Mumbai,24 Apr 21,5,1,0
INDIAN PREMIER LEAGUE 2021,0-20,PBKS,T20,Mumbai,12 Apr 21,20,1,0
INDIAN PREMIER LEAGUE 2020,0-7,SRH,T20,Abu Dhabi,06 Nov 20,7,1,0
INDIAN PREMIER LEAGUE 2020,0-14,CSK,T20,Dubai,10 Oct 20,14,1,0
INDIAN PREMIER LEAGUE 2020,0-4,RR,T20,Abu Dhabi,03 Oct 20,4,1,0
