Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,11(16),WSM,T20I,"Sano, Kanto",09 May 26,68.7,2,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,11(17),PHI,T20I,"Sano, Kanto",08 May 26,64.7,2,0
"SWEDEN TOUR OF INDONESIA, 2026",20*(13),SWE,T20I,Bali,11 Apr 26,153.8,1,2
"SWEDEN TOUR OF INDONESIA, 2026",1(2),SWE,T20I,Bali,09 Apr 26,50,0,0
"SWEDEN TOUR OF INDONESIA, 2026",6(8),SWE,T20I,Bali,07 Apr 26,75,0,1
"SWEDEN TOUR OF INDONESIA, 2026",38(37),SWE,T20I,Bali,07 Apr 26,102.7,4,1
"BAHRAIN TOUR OF INDONESIA, 2025",4(17),BHR,T20I,Bali,21 Nov 25,23.5,0,0
"BAHRAIN TOUR OF INDONESIA, 2025",26*(20),BHR,T20I,Bali,19 Nov 25,130,3,1
"BAHRAIN TOUR OF INDONESIA, 2025",4*(8),BHR,T20I,Bali,18 Nov 25,50,0,0
INDONESIA TRI-SERIES 2025,DNB,MMR,T20I,Bali,13 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,18(20),MMR,T20I,Bali,11 Nov 25,90,3,0
INDONESIA TRI-SERIES 2025,DNB,TLS,T20I,Bali,06 Nov 25,DNB,DNB,DNB
INDONESIA TRI-SERIES 2025,10*(16),MMR,T20I,Bali,06 Nov 25,62.5,0,0
