Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,12(7),LSG,T20,Mumbai,04 May 26,171.4,2,0
INDIAN PREMIER LEAGUE 2026,21(12),CSK,T20,Chennai,02 May 26,175,3,1
INDIAN PREMIER LEAGUE 2026,5(5),SRH,T20,Mumbai,29 Apr 26,100,1,0
INDIAN PREMIER LEAGUE 2026,36(30),CSK,T20,Mumbai,23 Apr 26,120,5,0
INDIAN PREMIER LEAGUE 2026,15(10),GT,T20,Ahmedabad,20 Apr 26,150,1,1
INDIAN PREMIER LEAGUE 2026,0(1),PBKS,T20,Mumbai,16 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,33(22),RCB,T20,Mumbai,12 Apr 26,150,5,0
INDIAN PREMIER LEAGUE 2026,6(3),RR,T20,Guwahati,07 Apr 26,200,0,1
INDIAN PREMIER LEAGUE 2026,51(36),DC,T20,Delhi,04 Apr 26,141.6,3,2
INDIAN PREMIER LEAGUE 2026,16(8),KKR,T20,Mumbai,29 Mar 26,200,3,0
ICC MEN'S T20 WORLD CUP 2026,0(1),NZ,T20I,Ahmedabad,08 Mar 26,0,0,0
ICC MEN'S T20 WORLD CUP 2026,11(6),ENG,T20I,Mumbai,05 Mar 26,183.3,0,1
ICC MEN'S T20 WORLD CUP 2026,18(16),WI,T20I,Kolkata,01 Mar 26,112.5,1,1
ICC MEN'S T20 WORLD CUP 2026,33(13),ZIM,T20I,Chennai,26 Feb 26,253.8,3,2
ICC MEN'S T20 WORLD CUP 2026,18(22),RSA,T20I,Ahmedabad,22 Feb 26,81.8,2,0
ICC MEN'S T20 WORLD CUP 2026,34(28),NED,T20I,Ahmedabad,18 Feb 26,121.4,2,1
ICC MEN'S T20 WORLD CUP 2026,32(29),PAK,T20I,Colombo,15 Feb 26,110.3,3,0
ICC MEN'S T20 WORLD CUP 2026,12(13),NAM,T20I,Delhi,12 Feb 26,92.3,0,1
ICC MEN'S T20 WORLD CUP 2026,84*(49),USA,T20I,Mumbai,07 Feb 26,171.4,10,4
"NEW ZEALAND TOUR OF INDIA, 2026",63(30),NZ,T20I,Thiruvananthapuram,31 Jan 26,210,4,6
"NEW ZEALAND TOUR OF INDIA, 2026",8(8),NZ,T20I,Visakhapatnam,28 Jan 26,100,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",57*(26),NZ,T20I,Guwahati,25 Jan 26,219.2,6,3
"NEW ZEALAND TOUR OF INDIA, 2026",82*(37),NZ,T20I,Raipur,23 Jan 26,221.6,9,4
"NEW ZEALAND TOUR OF INDIA, 2026",32(22),NZ,T20I,Nagpur,21 Jan 26,145.4,4,1
"SOUTH AFRICA TOUR OF INDIA, 2025",5(7),RSA,T20I,Ahmedabad,19 Dec 25,71.4,0,0
"SOUTH AFRICA TOUR OF INDIA, 2025",12(11),RSA,T20I,Dharamsala,14 Dec 25,109,2,0
"SOUTH AFRICA TOUR OF INDIA, 2025",5(4),RSA,T20I,New Chandigarh,11 Dec 25,125,1,0
"SOUTH AFRICA TOUR OF INDIA, 2025",12(11),RSA,T20I,Cuttack,09 Dec 25,109,1,1
"INDIA TOUR OF AUSTRALIA, 2025",DNB,AUS,T20I,Brisbane,08 Nov 25,DNB,DNB,DNB
"INDIA TOUR OF AUSTRALIA, 2025",20(10),AUS,T20I,Queensland,06 Nov 25,200,0,2
"INDIA TOUR OF AUSTRALIA, 2025",24(11),AUS,T20I,Hobart,02 Nov 25,218.1,1,2
"INDIA TOUR OF AUSTRALIA, 2025",1(4),AUS,T20I,Melbourne,31 Oct 25,25,0,0
"INDIA TOUR OF AUSTRALIA, 2025",39*(24),AUS,T20I,Canberra,29 Oct 25,162.5,3,2
ASIA CUP 2025,1(5),PAK,T20I,Dubai,28 Sep 25,20,0,0
ASIA CUP 2025,12(13),SL,T20I,Dubai,26 Sep 25,92.3,1,0
ASIA CUP 2025,5(11),BAN,T20I,Dubai,24 Sep 25,45.4,0,0
ASIA CUP 2025,0(3),PAK,T20I,Dubai,21 Sep 25,0,0,0
ASIA CUP 2025,DNB,OMAN,T20I,Abu Dhabi,19 Sep 25,DNB,DNB,DNB
ASIA CUP 2025,47*(37),PAK,T20I,Dubai,14 Sep 25,127,5,1
