Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"THE ASHES, 2025-26",0-20 & 0-25,ENG,Test,Sydney,04 Jan 26,5 & 6.2,4 & 4,0 & 0
"THE ASHES, 2025-26",DNB & 0-61,ENG,Test,Adelaide,17 Dec 25,DNB & 4,DNB & 15,DNB & 3
"THE ASHES, 2025-26",DNB & 0-1,ENG,Test,Brisbane,04 Dec 25,DNB & 1,DNB & 1,DNB & 0
"INDIA TOUR OF AUSTRALIA, 2025",0-16,IND,ODI,Adelaide,23 Oct 25,8,2,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",0-12,RSA,ODI,Mackay,22 Aug 25,6,2,0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2025",4-57,RSA,ODI,Cairns,19 Aug 25,6.3,9,0
"AUSTRALIA TOUR OF WEST INDIES, 2025",1-3 & DNB,WI,Test,"St Georges, Grenada",03 Jul 25,2.5 & DNB,1.2 & DNB,0 & DNB
ICC WORLD TEST CHAMPIONSHIP FINAL 2025,DNB & 0-8,RSA,Test,London,11 Jun 25,DNB & 4,DNB & 2,DNB & 0
"ICC CHAMPIONS TROPHY, 2025",0-6,IND,ODI,Dubai,04 Mar 25,6,1,0
"AUSTRALIA TOUR OF SRI LANKA, 2025",1-31 & 0-33,SL,Test,Galle,06 Feb 25,3.8 & 3.6,8 & 9,0 & 0
"AUSTRALIA TOUR OF SRI LANKA, 2025",DNB & 0-8,SL,Test,Galle,29 Jan 25,DNB & 4,DNB & 2,DNB & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",0-11 & 1-14,IND,Test,Melbourne,26 Dec 24,3.6 & 2.8,3 & 5,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",1-3 & DNB,IND,Test,Brisbane,14 Dec 24,2 & DNB,1.5 & DNB,0 & DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",DNB & 0-26,IND,Test,Perth,22 Nov 24,DNB & 5.2,DNB & 5,DNB & 0
"AUSTRALIA TOUR OF ENGLAND, 2024",4-28,ENG,ODI,Bristol,29 Sep 24,4.5,6.2,0
"AUSTRALIA TOUR OF ENGLAND, 2024",2-34,ENG,ODI,Nottingham,19 Sep 24,7.7,4.4,0
INDIAN PREMIER LEAGUE 2024,0-32,KKR,T20,Ahmedabad,21 May 24,22.8,1.4,0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",DNB & 0-7,NZ,Test,Christchurch,08 Mar 24,DNB & 3.5,DNB & 2,DNB & 0
"AUSTRALIA TOUR OF NEW ZEALAND, 2024",DNB & 1-10,NZ,Test,Wellington,29 Feb 24,DNB & 2.5,DNB & 4,DNB & 1
"WEST INDIES TOUR OF AUSTRALIA, 2024",0-14 & DNB,WI,Test,Brisbane,25 Jan 24,4.6 & DNB,3 & DNB,0 & DNB
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",0-1 & 1-19,PAK,Test,Sydney,03 Jan 24,1 & 3.1,1 & 6,0 & 1
"PAKISTAN TOUR OF AUSTRALIA, 2023-24",1-4 & DNB,PAK,Test,Perth,14 Dec 23,2.6 & DNB,1.5 & DNB,0 & DNB
ICC CRICKET WORLD CUP 2023,0-4,IND,ODI,Ahmedabad,19 Nov 23,2,2,0
ICC CRICKET WORLD CUP 2023,2-21,RSA,ODI,Kolkata,16 Nov 23,4.2,5,0
ICC CRICKET WORLD CUP 2023,0-33,BAN,ODI,Pune,11 Nov 23,5.5,6,0
ICC CRICKET WORLD CUP 2023,0-15,AFG,ODI,Mumbai,07 Nov 23,5,3,0
ICC CRICKET WORLD CUP 2023,0-28,ENG,ODI,Ahmedabad,04 Nov 23,5.6,5,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",2-39,RSA,ODI,Potchefstroom,12 Sep 23,3.9,10,0
"AUSTRALIA TOUR OF SOUTH AFRICA, 2023",0-41,RSA,ODI,Bloemfontein,09 Sep 23,10.2,4,0
"THE ASHES, 2023",0-52 & DNB,ENG,Test,Manchester,19 Jul 23,7.4 & DNB,7 & DNB,0 & DNB
"THE ASHES, 2023",2-17 & 0-23,ENG,Test,London,28 Jun 23,2.4 & 5.7,7 & 4,1 & 0
"AUSTRALIA TOUR OF INDIA, 2023",0-8 & DNB,IND,Test,Ahmedabad,09 Mar 23,2.6 & DNB,3 & DNB,0 & DNB
"AUSTRALIA TOUR OF INDIA, 2023",0-10 & 0-9,IND,Test,Delhi,17 Feb 23,5 & 9,2 & 1,0 & 0
"SOUTH AFRICA TOUR OF AUSTRALIA, 2022-23",1-21 & 0-4,RSA,Test,Sydney,04 Jan 23,3 & 2,7 & 2,1 & 0
"WEST INDIES TOUR OF AUSTRALIA, 2022",0-4 & 2-25,WI,Test,Perth,30 Nov 22,4 & 3.1,1 & 8,0 & 1
"AUSTRALIA TOUR OF SRI LANKA, 2022",0-27 & DNB,SL,Test,Galle,08 Jul 22,3.3 & DNB,8 & DNB,0 & DNB
"AUSTRALIA TOUR OF SRI LANKA, 2022",DNB & 4-10,SL,Test,Galle,29 Jun 22,DNB & 4,DNB & 2.5,DNB & 0
"AUSTRALIA TOUR OF SRI LANKA, 2022",0-9,SL,ODI,Colombo,19 Jun 22,9,1,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",0-17,PAK,T20I,Lahore,05 Apr 22,8.5,2,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",0-9,PAK,ODI,Lahore,02 Apr 22,4.5,2,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",0-28,PAK,ODI,Lahore,31 Mar 22,7,4,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",2-35,PAK,ODI,Lahore,29 Mar 22,5.8,6,0
"AUSTRALIA TOUR OF PAKISTAN, 2022",0-13 & 0-35,PAK,Test,Rawalpindi,04 Mar 22,4.3 & 2.6,3 & 13,0 & 1
