Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,4(2),DC,T20,Jaipur,01 May 26,200,1,0
INDIAN PREMIER LEAGUE 2026,43(16),PBKS,T20,New Chandigarh,28 Apr 26,268.7,3,5
INDIAN PREMIER LEAGUE 2026,103(37),SRH,T20,Jaipur,25 Apr 26,278.3,5,12
INDIAN PREMIER LEAGUE 2026,8(11),LSG,T20,Lucknow,22 Apr 26,72.7,2,0
INDIAN PREMIER LEAGUE 2026,46(28),KKR,T20,Kolkata,19 Apr 26,164.2,6,2
INDIAN PREMIER LEAGUE 2026,0(1),SRH,T20,Hyderabad,13 Apr 26,0,0,0
INDIAN PREMIER LEAGUE 2026,78(26),RCB,T20,Guwahati,10 Apr 26,300,8,7
INDIAN PREMIER LEAGUE 2026,39(14),MI,T20,Guwahati,07 Apr 26,278.5,1,5
INDIAN PREMIER LEAGUE 2026,31(18),GT,T20,Ahmedabad,04 Apr 26,172.2,5,1
INDIAN PREMIER LEAGUE 2026,52(17),CSK,T20,Guwahati,30 Mar 26,305.8,4,5
INDIAN PREMIER LEAGUE 2025,57(33),CSK,T20,Delhi,20 May 25,172.7,4,4
INDIAN PREMIER LEAGUE 2025,40(15),PBKS,T20,Jaipur,18 May 25,266.6,4,4
INDIAN PREMIER LEAGUE 2025,4(2),KKR,T20,Kolkata,04 May 25,200,1,0
INDIAN PREMIER LEAGUE 2025,0(2),MI,T20,Jaipur,01 May 25,0,0,0
INDIAN PREMIER LEAGUE 2025,101(38),GT,T20,Jaipur,28 Apr 25,265.7,7,11
INDIAN PREMIER LEAGUE 2025,16(12),RCB,T20,Bengaluru,24 Apr 25,133.3,0,2
INDIAN PREMIER LEAGUE 2025,34(20),LSG,T20,Jaipur,19 Apr 25,170,2,3
