Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-28,DC,T20,Delhi,08 May 26,7,4,0
INDIAN PREMIER LEAGUE 2026,3-36,SRH,T20,Hyderabad,03 May 26,9,4,0
INDIAN PREMIER LEAGUE 2026,2-33,LSG,T20,Lucknow,26 Apr 26,8.2,4,0
INDIAN PREMIER LEAGUE 2026,3-14,RR,T20,Kolkata,19 Apr 26,3.5,4,0
INDIAN PREMIER LEAGUE 2026,2-34,GT,T20,Ahmedabad,17 Apr 26,8.5,4,0
INDIAN PREMIER LEAGUE 2026,0-26,CSK,T20,Chennai,14 Apr 26,8.6,3,0
INDIAN PREMIER LEAGUE 2026,0-31,SRH,T20,Kolkata,02 Apr 26,15.5,2,0
INDIAN PREMIER LEAGUE 2026,0-48,MI,T20,Mumbai,29 Mar 26,12,4,0
ICC MEN'S T20 WORLD CUP 2026,1-39,NZ,T20I,Ahmedabad,08 Mar 26,13,3,0
ICC MEN'S T20 WORLD CUP 2026,1-64,ENG,T20I,Mumbai,05 Mar 26,16,4,0
ICC MEN'S T20 WORLD CUP 2026,1-40,WI,T20I,Kolkata,01 Mar 26,10,4,0
ICC MEN'S T20 WORLD CUP 2026,1-35,ZIM,T20I,Chennai,26 Feb 26,8.7,4,0
ICC MEN'S T20 WORLD CUP 2026,1-47,RSA,T20I,Ahmedabad,22 Feb 26,11.7,4,0
ICC MEN'S T20 WORLD CUP 2026,3-14,NED,T20I,Ahmedabad,18 Feb 26,4.6,3,0
ICC MEN'S T20 WORLD CUP 2026,2-17,PAK,T20I,Colombo,15 Feb 26,5.6,3,0
ICC MEN'S T20 WORLD CUP 2026,3-7,NAM,T20I,Delhi,12 Feb 26,3.5,2,0
ICC MEN'S T20 WORLD CUP 2026,1-24,USA,T20I,Mumbai,07 Feb 26,6,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-36,NZ,T20I,Thiruvananthapuram,31 Jan 26,9,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",1-35,NZ,T20I,Raipur,23 Jan 26,8.7,4,0
"NEW ZEALAND TOUR OF INDIA, 2026",2-37,NZ,T20I,Nagpur,21 Jan 26,9.2,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",4-53,RSA,T20I,Ahmedabad,19 Dec 25,13.2,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-11,RSA,T20I,Dharamsala,14 Dec 25,2.7,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-29,RSA,T20I,New Chandigarh,11 Dec 25,7.2,4,0
"SOUTH AFRICA TOUR OF INDIA, 2025",2-19,RSA,T20I,Cuttack,09 Dec 25,6.3,3,1
"INDIA TOUR OF AUSTRALIA, 2025",1-26,AUS,T20I,Queensland,06 Nov 25,6.5,4,0
"INDIA TOUR OF AUSTRALIA, 2025",2-33,AUS,T20I,Hobart,02 Nov 25,8.2,4,0
"INDIA TOUR OF AUSTRALIA, 2025",2-23,AUS,T20I,Melbourne,31 Oct 25,5.7,4,0
ASIA CUP 2025,2-30,PAK,T20I,Dubai,28 Sep 25,7.5,4,0
ASIA CUP 2025,1-31,SL,T20I,Dubai,26 Sep 25,7.7,4,0
ASIA CUP 2025,2-29,BAN,T20I,Dubai,24 Sep 25,7.2,4,0
ASIA CUP 2025,0-25,PAK,T20I,Dubai,21 Sep 25,6.2,4,0
ASIA CUP 2025,1-24,PAK,T20I,Dubai,14 Sep 25,6,4,0
ASIA CUP 2025,1-4,UAE,T20I,Dubai,10 Sep 25,2,2,0
INDIAN PREMIER LEAGUE 2025,0-54,SRH,T20,Delhi,25 May 25,18,3,0
INDIAN PREMIER LEAGUE 2025,2-18,CSK,T20,Kolkata,07 May 25,4.5,4,0
INDIAN PREMIER LEAGUE 2025,2-32,RR,T20,Kolkata,04 May 25,8,4,0
INDIAN PREMIER LEAGUE 2025,2-39,DC,T20,Delhi,29 Apr 25,9.7,4,0
INDIAN PREMIER LEAGUE 2025,1-39,PBKS,T20,Kolkata,26 Apr 25,9.7,4,0
INDIAN PREMIER LEAGUE 2025,0-33,GT,T20,Kolkata,21 Apr 25,8.2,4,0
INDIAN PREMIER LEAGUE 2025,2-21,PBKS,T20,New Chandigarh,15 Apr 25,5.2,4,0
INDIAN PREMIER LEAGUE 2025,2-22,CSK,T20,Chennai,11 Apr 25,5.5,4,0
INDIAN PREMIER LEAGUE 2025,0-31,LSG,T20,Kolkata,08 Apr 25,7.7,4,0
INDIAN PREMIER LEAGUE 2025,3-22,SRH,T20,Kolkata,03 Apr 25,5.5,4,0
INDIAN PREMIER LEAGUE 2025,0-12,MI,T20,Mumbai,31 Mar 25,4,3,0
INDIAN PREMIER LEAGUE 2025,2-17,RR,T20,Guwahati,26 Mar 25,4.2,4,0
INDIAN PREMIER LEAGUE 2025,1-43,RCB,T20,Kolkata,22 Mar 25,10.7,4,0
"ICC CHAMPIONS TROPHY, 2025",2-45,NZ,ODI,Dubai,09 Mar 25,4.5,10,0
"ICC CHAMPIONS TROPHY, 2025",2-49,AUS,ODI,Dubai,04 Mar 25,4.9,10,0
"ICC CHAMPIONS TROPHY, 2025",5-42,NZ,ODI,Dubai,02 Mar 25,4.2,10,0
"ENGLAND TOUR OF INDIA, 2025",1-54,ENG,ODI,Cuttack,09 Feb 25,5.4,10,0
"ENGLAND TOUR OF INDIA, 2025",2-25,ENG,T20I,Mumbai,02 Feb 25,12.5,2,0
"ENGLAND TOUR OF INDIA, 2025",2-28,ENG,T20I,Pune,31 Jan 25,7,4,0
"ENGLAND TOUR OF INDIA, 2025",5-24,ENG,T20I,Rajkot,28 Jan 25,6,4,0
"ENGLAND TOUR OF INDIA, 2025",2-38,ENG,T20I,Chennai,25 Jan 25,9.5,4,0
"ENGLAND TOUR OF INDIA, 2025",3-23,ENG,T20I,Kolkata,22 Jan 25,5.7,4,0
"INDIA TOUR OF SOUTH AFRICA, 2024",2-42,RSA,T20I,Johannesburg,15 Nov 24,10.5,4,0
