Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,12(15),GT,T20,Ahmedabad,30 Apr 26,80,1,0
INDIAN PREMIER LEAGUE 2026,29*(15),RR,T20,Guwahati,10 Apr 26,193.3,1,2
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Kolkata,04 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,7(5),DC,T20,Delhi,29 Apr 25,140,1,0
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Kolkata,26 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,14(19),GT,T20,Kolkata,21 Apr 25,73.6,0,0
INDIAN PREMIER LEAGUE 2025,7(4),PBKS,T20,New Chandigarh,15 Apr 25,175,0,0
INDIAN PREMIER LEAGUE 2025,DNB,CSK,T20,Chennai,11 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,45(29),LSG,T20,Kolkata,08 Apr 25,155.1,6,1
INDIAN PREMIER LEAGUE 2025,60(29),SRH,T20,Kolkata,03 Apr 25,206.9,7,3
INDIAN PREMIER LEAGUE 2025,3(9),MI,T20,Mumbai,31 Mar 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Guwahati,26 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,6(7),RCB,T20,Kolkata,22 Mar 25,85.7,1,0
INDIAN PREMIER LEAGUE 2024,52*(26),SRH,T20,Chennai,26 May 24,200,4,3
INDIAN PREMIER LEAGUE 2024,51*(28),SRH,T20,Ahmedabad,21 May 24,182.1,5,4
INDIAN PREMIER LEAGUE 2024,42(21),MI,T20,Kolkata,11 May 24,200,6,2
INDIAN PREMIER LEAGUE 2024,1*(1),LSG,T20,Lucknow,05 May 24,100,0,0
INDIAN PREMIER LEAGUE 2024,70(52),MI,T20,Mumbai,03 May 24,134.6,6,3
INDIAN PREMIER LEAGUE 2024,26*(23),DC,T20,Kolkata,29 Apr 24,113,2,1
INDIAN PREMIER LEAGUE 2024,39(23),PBKS,T20,Kolkata,26 Apr 24,169.5,3,2
INDIAN PREMIER LEAGUE 2024,16(8),RCB,T20,Kolkata,21 Apr 24,200,3,0
INDIAN PREMIER LEAGUE 2024,8(6),RR,T20,Kolkata,16 Apr 24,133.3,1,0
INDIAN PREMIER LEAGUE 2024,DNB,LSG,T20,Kolkata,14 Apr 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,3(8),CSK,T20,Chennai,08 Apr 24,37.5,0,0
INDIAN PREMIER LEAGUE 2024,5*(2),DC,T20,Visakhapatnam,03 Apr 24,250,1,0
INDIAN PREMIER LEAGUE 2024,50(30),RCB,T20,Bengaluru,29 Mar 24,166.6,3,4
