Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,1*(1),SRH,T20,Hyderabad,06 May 26,100,0,0
INDIAN PREMIER LEAGUE 2026,1*(3),GT,T20,Ahmedabad,03 May 26,33.3,0,0
INDIAN PREMIER LEAGUE 2026,DNB,DC,T20,Delhi,25 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Mumbai,16 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,SRH,T20,New Chandigarh,11 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,CSK,T20,Chennai,03 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,GT,T20,New Chandigarh,31 Mar 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Ahmedabad,03 Jun 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Ahmedabad,01 Jun 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,MI,T20,Jaipur,26 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Dharamsala,04 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Ahmedabad,25 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,DNB,GT,T20,Bengaluru,04 May 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2024,1*(2),SRH,T20,Bengaluru,15 Apr 24,50,0,0
INDIAN PREMIER LEAGUE 2024,0(1),MI,T20,Mumbai,11 Apr 24,0,0,0
INDIAN PREMIER LEAGUE 2024,DNB,KKR,T20,Bengaluru,29 Mar 24,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,GT,T20,Bengaluru,21 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,MI,T20,Mumbai,09 May 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,13*(8),KKR,T20,Bengaluru,26 Apr 23,162.5,0,1
INDIAN PREMIER LEAGUE 2023,0(1),RR,T20,Bengaluru,23 Apr 23,0,0,0
INDIAN PREMIER LEAGUE 2023,DNB,PBKS,T20,Mohali,20 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,CSK,T20,Bengaluru,17 Apr 23,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2023,DNB,DC,T20,Bengaluru,15 Apr 23,DNB,DNB,DNB
