Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,3*(3),KKR,T20,Delhi,08 May 26,100,0,0
INDIAN PREMIER LEAGUE 2026,12(7),GT,T20,Delhi,08 Apr 26,171.4,2,0
INDIAN PREMIER LEAGUE 2026,DNB,MI,T20,Delhi,04 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2026,DNB,LSG,T20,Lucknow,01 Apr 26,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,DNB,PBKS,T20,Jaipur,24 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,20(11),MI,T20,Mumbai,21 May 25,181.8,3,1
INDIAN PREMIER LEAGUE 2025,DNB,GT,T20,Delhi,18 May 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,18(17),SRH,T20,Hyderabad,05 May 25,105.8,1,1
INDIAN PREMIER LEAGUE 2025,38(19),KKR,T20,Delhi,29 Apr 25,200,5,2
INDIAN PREMIER LEAGUE 2025,12(6),RCB,T20,Delhi,27 Apr 25,200,0,1
INDIAN PREMIER LEAGUE 2025,DNB,LSG,T20,Lucknow,22 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,0(1),GT,T20,Ahmedabad,19 Apr 25,0,0,0
INDIAN PREMIER LEAGUE 2025,DNB,RR,T20,Delhi,16 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,14(8),MI,T20,Delhi,13 Apr 25,175,1,1
INDIAN PREMIER LEAGUE 2025,DNB,RCB,T20,Bengaluru,10 Apr 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,1*(2),CSK,T20,Chennai,05 Apr 25,50,0,0
INDIAN PREMIER LEAGUE 2025,DNB,SRH,T20,Visakhapatnam,30 Mar 25,DNB,DNB,DNB
INDIAN PREMIER LEAGUE 2025,39(15),LSG,T20,Visakhapatnam,24 Mar 25,260,5,2
