Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
INDIAN PREMIER LEAGUE 2026,0-34,KKR,T20,Delhi,08 May 26,17,2,0
INDIAN PREMIER LEAGUE 2026,1-24,PBKS,T20,Delhi,25 Apr 26,12,2,0
INDIAN PREMIER LEAGUE 2026,0-23,GT,T20,Delhi,08 Apr 26,23,1,0
INDIAN PREMIER LEAGUE 2026,1-24,MI,T20,Delhi,04 Apr 26,8,3,0
INDIAN PREMIER LEAGUE 2026,0-8,LSG,T20,Lucknow,01 Apr 26,8,1,0
INDIAN PREMIER LEAGUE 2025,2-38,PBKS,T20,Jaipur,24 May 25,9.5,4,0
INDIAN PREMIER LEAGUE 2025,0-25,MI,T20,Mumbai,21 May 25,6.2,4,0
INDIAN PREMIER LEAGUE 2025,0-37,GT,T20,Delhi,18 May 25,9.2,4,0
INDIAN PREMIER LEAGUE 2025,2-41,KKR,T20,Delhi,29 Apr 25,10.2,4,0
INDIAN PREMIER LEAGUE 2025,0-12,RCB,T20,Delhi,27 Apr 25,12,1,0
INDIAN PREMIER LEAGUE 2025,0-14,LSG,T20,Lucknow,22 Apr 25,14,1,0
INDIAN PREMIER LEAGUE 2025,0-34,GT,T20,Ahmedabad,19 Apr 25,8.5,4,0
INDIAN PREMIER LEAGUE 2025,0-13,RR,T20,Delhi,16 Apr 25,13,1,0
INDIAN PREMIER LEAGUE 2025,2-41,MI,T20,Delhi,13 Apr 25,10.2,4,0
INDIAN PREMIER LEAGUE 2025,2-18,RCB,T20,Bengaluru,10 Apr 25,4.5,4,0
INDIAN PREMIER LEAGUE 2025,2-27,CSK,T20,Chennai,05 Apr 25,6.7,4,0
INDIAN PREMIER LEAGUE 2025,0-21,SRH,T20,Visakhapatnam,30 Mar 25,10.5,2,0
INDIAN PREMIER LEAGUE 2025,1-35,LSG,T20,Visakhapatnam,24 Mar 25,17.5,2,0
