Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
INDIAN PREMIER LEAGUE 2026,0(2),LSG,T20,Lucknow,07 May 26,0,0,0
INDIAN PREMIER LEAGUE 2026,28(13),GT,T20,Ahmedabad,30 Apr 26,215.3,5,1
INDIAN PREMIER LEAGUE 2026,23*(15),DC,T20,Delhi,27 Apr 26,153.3,1,2
INDIAN PREMIER LEAGUE 2026,81(44),GT,T20,Bengaluru,24 Apr 26,184,8,4
INDIAN PREMIER LEAGUE 2026,19(13),DC,T20,Bengaluru,18 Apr 26,146.1,3,0
INDIAN PREMIER LEAGUE 2026,49(34),LSG,T20,Bengaluru,15 Apr 26,144.1,6,1
INDIAN PREMIER LEAGUE 2026,50(38),MI,T20,Mumbai,12 Apr 26,131.5,5,1
INDIAN PREMIER LEAGUE 2026,32(16),RR,T20,Guwahati,10 Apr 26,200,7,0
INDIAN PREMIER LEAGUE 2026,28(18),CSK,T20,Bengaluru,05 Apr 26,155.5,2,1
INDIAN PREMIER LEAGUE 2026,69*(38),SRH,T20,Bengaluru,28 Mar 26,181.5,5,5
"NEW ZEALAND TOUR OF INDIA, 2026",124(108),NZ,ODI,Indore,18 Jan 26,114.8,10,3
"NEW ZEALAND TOUR OF INDIA, 2026",23(29),NZ,ODI,Rajkot,14 Jan 26,79.3,2,0
"NEW ZEALAND TOUR OF INDIA, 2026",93(91),NZ,ODI,Vadodara,11 Jan 26,102.2,8,1
"SOUTH AFRICA TOUR OF INDIA, 2025",65*(45),RSA,ODI,Visakhapatnam,06 Dec 25,144.4,6,3
"SOUTH AFRICA TOUR OF INDIA, 2025",102(93),RSA,ODI,Raipur,03 Dec 25,109.6,7,2
"SOUTH AFRICA TOUR OF INDIA, 2025",135(120),RSA,ODI,Ranchi,30 Nov 25,112.5,11,7
"INDIA TOUR OF AUSTRALIA, 2025",74*(81),AUS,ODI,Sydney,25 Oct 25,91.3,7,0
"INDIA TOUR OF AUSTRALIA, 2025",0(4),AUS,ODI,Adelaide,23 Oct 25,0,0,0
"INDIA TOUR OF AUSTRALIA, 2025",0(8),AUS,ODI,Perth,19 Oct 25,0,0,0
INDIAN PREMIER LEAGUE 2025,43(35),PBKS,T20,Ahmedabad,03 Jun 25,122.8,3,0
INDIAN PREMIER LEAGUE 2025,12(12),PBKS,T20,New Chandigarh,29 May 25,100,2,0
INDIAN PREMIER LEAGUE 2025,54(30),LSG,T20,Lucknow,27 May 25,180,10,0
INDIAN PREMIER LEAGUE 2025,43(25),SRH,T20,Lucknow,23 May 25,172,7,1
INDIAN PREMIER LEAGUE 2025,62(33),CSK,T20,Bengaluru,03 May 25,187.8,5,5
INDIAN PREMIER LEAGUE 2025,51(47),DC,T20,Delhi,27 Apr 25,108.5,4,0
INDIAN PREMIER LEAGUE 2025,70(42),RR,T20,Bengaluru,24 Apr 25,166.6,8,2
INDIAN PREMIER LEAGUE 2025,73*(54),PBKS,T20,New Chandigarh,20 Apr 25,135.1,7,1
INDIAN PREMIER LEAGUE 2025,1(3),PBKS,T20,Bengaluru,18 Apr 25,33.3,0,0
INDIAN PREMIER LEAGUE 2025,62*(45),RR,T20,Jaipur,13 Apr 25,137.7,4,2
INDIAN PREMIER LEAGUE 2025,22(14),DC,T20,Bengaluru,10 Apr 25,157.1,1,2
INDIAN PREMIER LEAGUE 2025,67(42),MI,T20,Mumbai,07 Apr 25,159.5,8,2
INDIAN PREMIER LEAGUE 2025,7(6),GT,T20,Bengaluru,02 Apr 25,116.6,1,0
INDIAN PREMIER LEAGUE 2025,31(30),CSK,T20,Chennai,28 Mar 25,103.3,2,1
INDIAN PREMIER LEAGUE 2025,59*(36),KKR,T20,Kolkata,22 Mar 25,163.8,4,3
"ICC CHAMPIONS TROPHY, 2025",1(2),NZ,ODI,Dubai,09 Mar 25,50,0,0
"ICC CHAMPIONS TROPHY, 2025",84(98),AUS,ODI,Dubai,04 Mar 25,85.7,5,0
"ICC CHAMPIONS TROPHY, 2025",11(14),NZ,ODI,Dubai,02 Mar 25,78.5,2,0
"ICC CHAMPIONS TROPHY, 2025",100*(111),PAK,ODI,Dubai,23 Feb 25,90,7,0
"ICC CHAMPIONS TROPHY, 2025",22(38),BAN,ODI,Dubai,20 Feb 25,57.8,1,0
"ENGLAND TOUR OF INDIA, 2025",52(55),ENG,ODI,Ahmedabad,12 Feb 25,94.5,7,1
"ENGLAND TOUR OF INDIA, 2025",5(8),ENG,ODI,Cuttack,09 Feb 25,62.5,1,0
"INDIA TOUR OF AUSTRALIA, 2024-25",17 & 6,AUS,Test,Sydney,03 Jan 25,24.6 & 50,0 & 1,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",36 & 5,AUS,Test,Melbourne,26 Dec 24,41.8 & 17.2,4 & 0,0 & 0
"INDIA TOUR OF AUSTRALIA, 2024-25",3 & DNB,AUS,Test,Brisbane,14 Dec 24,18.7 & DNB,0 & DNB,0 & DNB
"INDIA TOUR OF AUSTRALIA, 2024-25",7 & 11,AUS,Test,Adelaide,06 Dec 24,87.5 & 52.3,1 & 1,0 & 0
