Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",10(13),HKC W,T20I,Mong Kok,08 May 26,76.9,1,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",24(18),MLYW,T20I,Mong Kok,08 May 26,133.3,3,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0(1),MLYW,T20I,Mong Kok,07 May 26,0,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,20*(15),MGLW,T20I,Hangzhou,25 Sep 25,133.3,3,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,5(6),HKC W,T20I,Hangzhou,23 Sep 25,83.3,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,8(16),MMRW,T20I,Hangzhou,22 Sep 25,50,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MGLW,T20I,Hangzhou,20 Sep 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,PHIW,T20I,"Sano, Kanto",08 Jun 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,3(4),JPNW,T20I,"Sano, Kanto",06 Jun 25,75,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,MGLW,T20I,"Sano, Kanto",05 Jun 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,DNB,PHIW,T20I,"Sano, Kanto",04 Jun 25,DNB,DNB,DNB
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",4(6),HKC W,T20I,Mong Kok,08 Dec 24,66.6,1,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0(3),THAIW,T20I,Mong Kok,07 Dec 24,0,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",3*(11),NAMW,T20I,Mong Kok,05 Dec 24,27.2,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0(2),HKC W,T20I,Mong Kok,04 Dec 24,0,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",12*(16),HKC W,T20I,Hangzhou,10 Nov 24,75,1,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",0(1),MMRW,T20I,Hangzhou,09 Nov 24,0,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",4(7),HKC W,T20I,Hangzhou,08 Nov 24,57.1,1,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",DNB,MGLW,T20I,Hangzhou,07 Nov 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,8*(7),JPNW,T20I,Incheon,12 Oct 24,114.2,1,0
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,11 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,HKC W,T20I,Incheon,09 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,DNB,MGLW,T20I,Incheon,08 Oct 24,DNB,DNB,DNB
