Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",1-9,MLYW,T20I,Mong Kok,08 May 26,4.5,2,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",1-21,HKC W,T20I,Mong Kok,08 May 26,5.2,4,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0-16,MLYW,T20I,Mong Kok,07 May 26,5.3,3,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,0-19,MGLW,T20I,Hangzhou,25 Sep 25,6.3,3,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,1-20,HKC W,T20I,Hangzhou,23 Sep 25,5,4,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,0-8,MMRW,T20I,Hangzhou,22 Sep 25,8,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,1-8,MGLW,T20I,Hangzhou,20 Sep 25,2.6,3,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1-18,PHIW,T20I,"Sano, Kanto",08 Jun 25,4.5,4,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1-20,JPNW,T20I,"Sano, Kanto",06 Jun 25,5,4,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,0-8,MGLW,T20I,"Sano, Kanto",05 Jun 25,2,4,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,1-8,PHIW,T20I,"Sano, Kanto",04 Jun 25,4,2,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0-13,HKC W,T20I,Mong Kok,08 Dec 24,4.3,3,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0-19,THAIW,T20I,Mong Kok,07 Dec 24,9.5,2,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",0-4,NAMW,T20I,Mong Kok,05 Dec 24,40,0.1,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",1-36,HKC W,T20I,Mong Kok,04 Dec 24,9,4,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",0-13,HKC W,T20I,Hangzhou,10 Nov 24,6.5,2,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",1-15,MMRW,T20I,Hangzhou,09 Nov 24,7.5,2,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",0-20,HKC W,T20I,Hangzhou,08 Nov 24,5,4,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",2-10,MGLW,T20I,Hangzhou,07 Nov 24,3.3,3,0
WOMENS EAST ASIA CUP 2024,0-15,SKRW,T20I,Incheon,13 Oct 24,5,3,0
WOMENS EAST ASIA CUP 2024,0-18,JPNW,T20I,Incheon,12 Oct 24,4.5,4,0
WOMENS EAST ASIA CUP 2024,0-9,SKRW,T20I,Incheon,11 Oct 24,3,3,0
WOMENS EAST ASIA CUP 2024,2-25,HKC W,T20I,Incheon,09 Oct 24,6.2,4,0
WOMENS EAST ASIA CUP 2024,2-9,MGLW,T20I,Incheon,08 Oct 24,2.2,4,0
