Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",8(23),MLYW,T20I,Mong Kok,08 May 26,34.7,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",2(3),HKC W,T20I,Mong Kok,08 May 26,66.6,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",3(6),MLYW,T20I,Mong Kok,07 May 26,50,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MGLW,T20I,Hangzhou,25 Sep 25,DNB,DNB,DNB
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,20*(26),HKC W,T20I,Hangzhou,23 Sep 25,76.9,1,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,2(9),MMRW,T20I,Hangzhou,22 Sep 25,22.2,0,0
WOMENS T20I QUADRANGULAR SERIES IN CHINA 2025,DNB,MGLW,T20I,Hangzhou,20 Sep 25,DNB,DNB,DNB
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,25(44),PHIW,T20I,"Sano, Kanto",08 Jun 25,56.8,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,2(17),JPNW,T20I,"Sano, Kanto",06 Jun 25,11.7,0,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,7*(13),MGLW,T20I,"Sano, Kanto",05 Jun 25,53.8,1,0
WOMENS T20 PENTANGULAR SERIES IN JAPAN 2025,6(24),PHIW,T20I,"Sano, Kanto",04 Jun 25,25,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",4(7),HKC W,T20I,Mong Kok,08 Dec 24,57.1,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",2(18),NAMW,T20I,Mong Kok,05 Dec 24,11.1,0,0
"WOMENS T20I QUADRANGULAR SERIES IN HONG KONG, CHINA 2024",1(4),HKC W,T20I,Mong Kok,04 Dec 24,25,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",1(6),HKC W,T20I,Hangzhou,10 Nov 24,16.6,0,0
"WOMENS T20I QUADRANGULAR SERIES IN CHINA, 2024",4(21),MMRW,T20I,Hangzhou,09 Nov 24,19,0,0
WOMENS EAST ASIA CUP 2024,DNB,SKRW,T20I,Incheon,13 Oct 24,DNB,DNB,DNB
WOMENS EAST ASIA CUP 2024,1(13),JPNW,T20I,Incheon,12 Oct 24,7.6,0,0
WOMENS EAST ASIA CUP 2024,18*(20),SKRW,T20I,Incheon,11 Oct 24,90,2,0
WOMENS EAST ASIA CUP 2024,0(1),HKC W,T20I,Incheon,09 Oct 24,0,0,0
WOMENS EAST ASIA CUP 2024,0(2),MGLW,T20I,Incheon,08 Oct 24,0,0,0
