Series,Wickets,Opponent,Format,Venue,Date,Economy,Overs,Maidens
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,0-26,JPN,T20I,Nisshin,09 May 26,6.5,4,0
ICC MEN'S T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2026,3-6,FIJI,T20I,Nisshin,08 May 26,1.7,3.4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",2-33,WSM,T20I,Apia,24 Aug 24,8.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-34,FIJI,T20I,Apia,23 Aug 24,9.7,3.5,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",1-25,CIS,T20I,Apia,21 Aug 24,6.2,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",0-34,WSM,T20I,Apia,20 Aug 24,8.5,4,0
"ICC MENS T20 WORLD CUP SUB REGIONAL EAST ASIA-PACIFIC QUALIFIER A, 2024",6-16,FIJI,T20I,Apia,19 Aug 24,4,4,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",0-20,BHR,T20I,Kuala Lumpur,10 Mar 24,6.6,3,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",0-31,MLY,T20I,Kuala Lumpur,06 Mar 24,15.5,2,0
"MALAYSIA OPEN T20I CHAMPIONSHIP, 2024",3-15,TAN,T20I,Kuala Lumpur,05 Mar 24,3.7,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,2-24,PHI,T20I,Port Moresby,29 Jul 23,6,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0-18,JPN,T20I,Port Moresby,28 Jul 23,6,3,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,1-32,PNG,T20I,Port Moresby,26 Jul 23,8,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,2-14,PHI,T20I,Port Moresby,25 Jul 23,3.5,4,0
ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER 2023,0-29,JPN,T20I,Port Moresby,23 Jul 23,7.2,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",1-34,FIJI,T20I,Port Vila,13 Sep 22,11.3,3,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-19,WSM,T20I,Port Vila,13 Sep 22,9.5,2,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",2-15,WSM,T20I,Port Vila,10 Sep 22,3.7,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",1-29,CIS,T20I,Port Vila,10 Sep 22,7.2,4,0
"ICC MENS T20 WORLD CUP EAST ASIA PACIFIC QUALIFIER A, 2022",0-30,FIJI,T20I,Port Vila,08 Sep 22,7.5,4,0
"VANUATU TOUR OF MALAYSIA, 2019",0-38,MLY,T20I,Kuala Lumpur,04 Oct 19,12.6,3,0
"VANUATU TOUR OF MALAYSIA, 2019",1-39,MLY,T20I,Kuala Lumpur,02 Oct 19,9.7,4,0
"VANUATU TOUR OF MALAYSIA, 2019",0-6,MLY,T20I,Kuala Lumpur,29 Sep 19,6,1,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,2-25,PHI,T20I,Port Moresby,23 Mar 19,6.2,4,0
ICC WORLD TWENTY20 EAST ASIA PACIFIC REGION FINAL 2019,1-29,PNG,T20I,Port Moresby,22 Mar 19,7.2,4,0
