Series,Score,Opponent,Format,Venue,Date,SR,4s,6s
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",15(22),CHNW,T20I,Mong Kok,08 May 26,68.1,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",0(1),HKC W,T20I,Mong Kok,07 May 26,0,0,0
"HONG KONG, CHINA WOMEN T20I TRI-SERIES, 2026",5(11),CHNW,T20I,Mong Kok,07 May 26,45.4,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,20(35),BTNW,T20I,Gelephu,27 Jan 26,57.1,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,0(2),HKC W,T20I,Gelephu,26 Jan 26,0,0,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,16(17),BTNW,T20I,Gelephu,24 Jan 26,94.1,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,11(19),HKC W,T20I,Gelephu,21 Jan 26,57.8,2,0
BHUTAN WOMEN'S T20I TRI-SERIES 2026,26(40),BTNW,T20I,Gelephu,20 Jan 26,65,2,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,7(27),THAIW,T20I,Bangkok,19 Dec 25,25.9,0,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,8(10),MMRW,T20I,Bangkok,18 Dec 25,80,0,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,34*(27),PHIW,T20I,Bangkok,17 Dec 25,125.9,5,0
SEA GAMES WOMENS TWENTY20 CRICKET COMPETITION 2025,50(48),IDNW,T20I,Bangkok,15 Dec 25,104.1,6,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",18(16),HKC W,T20I,Kuala Lumpur,04 Dec 25,112.5,1,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",11(18),HKC W,T20I,Kuala Lumpur,03 Dec 25,61.1,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",11(20),HKC W,T20I,Kuala Lumpur,01 Dec 25,55,0,0
"HONG KONG, CHINA WOMEN TOUR OF MALAYSIA 2025",26(27),HKC W,T20I,Kuala Lumpur,30 Nov 25,96.3,3,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,40(46),NEPW,T20I,Kuala Lumpur,08 Oct 25,86.9,5,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,2(17),NEPW,T20I,Kuala Lumpur,07 Oct 25,11.7,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,0(1),NEPW,T20I,Kuala Lumpur,05 Oct 25,0,0,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,15(29),NEPW,T20I,Kuala Lumpur,04 Oct 25,51.7,1,0
NEPAL WOMEN TOUR OF MALAYSIA 2025,27(41),NEPW,T20I,Kuala Lumpur,02 Oct 25,65.8,0,0
"NAMIBIA WOMEN TOUR OF MALAYSIA, 2024",21(45),NAMW,T20I,Kuala Lumpur,12 Dec 24,46.6,2,0
